# Frequency(Hz) Real(n) Imag(n)
1.579159133689302206e+09 -2.062418941947818052e+00 -3.883151691351559354e+00
3.158318267378604412e+09 -9.942295360912503099e+00 2.685502646395287574e+00
4.737477401067906380e+09 -5.185517722915451433e-01 -2.410379562342038096e+00
6.316636534757208824e+09 4.172771874057689540e-02 -6.571197619102562282e-01
7.895795668446511269e+09 3.248056516463354026e-01 -6.448193913338977623e-01
9.474954802135812759e+09 1.134713360479729261e+00 -5.504253591629861830e-01
1.105411393582511520e+10 1.739601369071585690e+00 -5.593692366015529105e-01
1.263327306951441765e+10 2.261312041060947742e+00 -4.738601143258324710e-01
1.421243220320372009e+10 2.870454845000479427e+00 -2.141996980299542552e-01
1.579159133689302254e+10 3.421282119456868109e+00 -2.522201096897035422e-01
1.737075047058232498e+10 3.511659388661454440e+00 -1.799653948426433170e-01
1.894990960427162552e+10 3.446837799719761897e+00 -8.006249123827231806e-02
2.052906873796092987e+10 3.323922117498645523e+00 -1.056588995423848702e-02
2.210822787165023041e+10 3.191567788416735052e+00 2.695769261239151435e-02
2.368738700533953476e+10 3.069475309998149104e+00 4.355326466702242466e-02
2.526654613902883530e+10 2.963187287325891983e+00 4.919374539284816772e-02
2.684570527271813583e+10 2.872478151755584186e+00 5.038402038324504145e-02
2.842486440640744019e+10 2.795276667908369816e+00 5.080623499005795102e-02
3.000402354009674072e+10 2.729258862168848498e+00 5.235889823428077627e-02
3.158318267378604507e+10 2.672387576572983203e+00 5.594681724562120678e-02
3.316234180747534561e+10 2.623027378851830793e+00 6.197964446170586839e-02
3.474150094116464996e+10 2.579910273084829342e+00 7.066800855437266327e-02
3.632066007485395050e+10 2.542059219811194204e+00 8.220599303149468684e-02
3.789981920854325104e+10 2.508699235427570784e+00 9.690724135134656803e-02
3.947897834223255157e+10 2.479139309150603321e+00 1.153492735695398758e-01
4.105813747592185974e+10 2.452537303144509018e+00 1.385747392566593628e-01
4.263729660961116028e+10 2.427260329543319273e+00 1.683116660474924253e-01
4.421645574330046082e+10 2.399238205269196289e+00 2.063951845603389790e-01
4.579561487698976135e+10 2.361196749685409380e+00 2.503637069559072614e-01
4.737477401067906952e+10 2.684309268893848355e+00 8.306364196718375725e-02
4.895393314436837006e+10 2.636964959619820359e+00 4.595258906621302319e-02
5.053309227805767059e+10 2.595480868203390301e+00 1.860319663829567913e-02
5.211225141174697113e+10 2.557426340414079569e+00 -9.972986171478646911e-04
5.369141054543627167e+10 2.521940904708280584e+00 -1.436059116132460192e-02
5.527056967912557983e+10 2.488825282228548375e+00 -2.255269293203318245e-02
5.684972881281488037e+10 2.458167814323868772e+00 -2.641424981674271935e-02
5.842888794650418091e+10 2.430149982462361358e+00 -2.671012756688251333e-02
6.000804708019348145e+10 2.404916305474628757e+00 -2.418952475993186788e-02
6.158720621388278961e+10 2.382492862097396635e+00 -1.957298401816610911e-02
6.316636534757209015e+10 2.362761371922705411e+00 -1.349981742948582961e-02
6.474552448126139069e+10 2.345484074990910717e+00 -6.474153670156365149e-03
6.632468361495069122e+10 2.330358140768347130e+00 1.164910745165133711e-03
6.790384274863999176e+10 2.317074275962903940e+00 9.244229504972448913e-03
6.948300188232929993e+10 2.305362621204471107e+00 1.773910105572564302e-02
7.106216101601860046e+10 2.295020887190184489e+00 2.675329298347836268e-02
7.264132014970790100e+10 2.285927856656094992e+00 3.651237001704089186e-02
