# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 3000 waveforms. Timestamp: 2026-03-04T13:37:41
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00020690
-739.96699670	0.00017333
-739.93399340	0.00014830
-739.90099010	0.00015756
-739.86798680	0.00018191
-739.83498350	0.00017615
-739.80198020	0.00009267
-739.76897690	0.00009991
-739.73597360	0.00006890
-739.70297030	0.00003864
-739.66996700	0.00008680
-739.63696370	0.00000976
-739.60396040	0.00006589
-739.57095710	-0.00002898
-739.53795380	0.00000651
-739.50495050	-0.00003064
-739.47194719	-0.00004338
-739.43894389	-0.00005200
-739.40594059	-0.00006073
-739.37293729	-0.00008733
-739.33993399	-0.00004864
-739.30693069	-0.00011271
-739.27392739	-0.00014018
-739.24092409	-0.00008098
-739.20792079	-0.00012731
-739.17491749	-0.00015265
-739.14191419	-0.00011506
-739.10891089	-0.00015348
-739.07590759	-0.00011893
-739.04290429	-0.00016021
-739.00990099	-0.00013500
-738.97689769	-0.00010449
-738.94389439	-0.00010510
-738.91089109	-0.00016250
-738.87788779	-0.00014349
-738.84488449	-0.00016828
-738.81188119	-0.00008792
-738.77887789	-0.00006276
-738.74587459	-0.00009637
-738.71287129	-0.00010401
-738.67986799	-0.00002663
-738.64686469	-0.00003318
-738.61386139	-0.00002298
-738.58085809	0.00002211
-738.54785479	0.00002025
-738.51485149	0.00000167
-738.48184818	-0.00000556
-738.44884488	0.00003544
-738.41584158	0.00005743
-738.38283828	0.00002567
-738.34983498	0.00006050
-738.31683168	0.00006171
-738.28382838	0.00007462
-738.25082508	0.00012047
-738.21782178	0.00006790
-738.18481848	0.00012875
-738.15181518	0.00011407
-738.11881188	0.00015058
-738.08580858	0.00016688
-738.05280528	0.00018897
-738.01980198	0.00019344
-737.98679868	0.00014876
-737.95379538	0.00013494
-737.92079208	0.00017112
-737.88778878	0.00019358
-737.85478548	0.00011672
-737.82178218	0.00015707
-737.78877888	0.00012881
-737.75577558	0.00010360
-737.72277228	0.00013208
-737.68976898	0.00008791
-737.65676568	0.00008840
-737.62376238	0.00011002
-737.59075908	0.00009108
-737.55775578	0.00006577
-737.52475248	-0.00001191
-737.49174917	-0.00003231
-737.45874587	-0.00000138
-737.42574257	-0.00002423
-737.39273927	0.00001085
-737.35973597	0.00001399
-737.32673267	-0.00003810
-737.29372937	-0.00006099
-737.26072607	-0.00007325
-737.22772277	-0.00008257
-737.19471947	-0.00006357
-737.16171617	-0.00011318
-737.12871287	-0.00012427
-737.09570957	-0.00014064
-737.06270627	-0.00010951
-737.02970297	-0.00012193
-736.99669967	-0.00013986
-736.96369637	-0.00019494
-736.93069307	-0.00015427
-736.89768977	-0.00019694
-736.86468647	-0.00017562
-736.83168317	-0.00020185
-736.79867987	-0.00019109
-736.76567657	-0.00017210
-736.73267327	-0.00022090
-736.69966997	-0.00017647
-736.66666667	-0.00021873
-736.63366337	-0.00020529
-736.60066007	-0.00017219
-736.56765677	-0.00021733
-736.53465347	-0.00020433
-736.50165017	-0.00023800
-736.46864686	-0.00022061
-736.43564356	-0.00023783
-736.40264026	-0.00022937
-736.36963696	-0.00023008
-736.33663366	-0.00024338
-736.30363036	-0.00027202
-736.27062706	-0.00028743
