# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 3000 waveforms. Timestamp: 2026-03-04T14:20:26
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00012090
-739.96699670	0.00010657
-739.93399340	0.00007913
-739.90099010	0.00009677
-739.86798680	0.00008266
-739.83498350	0.00008998
-739.80198020	0.00009883
-739.76897690	0.00003754
-739.73597360	0.00004876
-739.70297030	0.00006111
-739.66996700	0.00002463
-739.63696370	-0.00005721
-739.60396040	-0.00000193
-739.57095710	0.00001996
-739.53795380	-0.00000863
-739.50495050	-0.00002603
-739.47194719	-0.00001801
-739.43894389	-0.00007281
-739.40594059	-0.00006733
-739.37293729	-0.00005171
-739.33993399	-0.00008243
-739.30693069	-0.00004894
-739.27392739	-0.00005552
-739.24092409	0.00000402
-739.20792079	-0.00009011
-739.17491749	-0.00005507
-739.14191419	-0.00007942
-739.10891089	-0.00005871
-739.07590759	-0.00002911
-739.04290429	-0.00006789
-739.00990099	0.00001519
-738.97689769	-0.00005795
-738.94389439	-0.00001772
-738.91089109	-0.00006512
-738.87788779	-0.00002434
-738.84488449	-0.00002261
-738.81188119	-0.00006086
-738.77887789	0.00002698
-738.74587459	0.00005527
-738.71287129	0.00000111
-738.67986799	0.00002197
-738.64686469	0.00007855
-738.61386139	0.00004926
-738.58085809	0.00002634
-738.54785479	0.00006391
-738.51485149	-0.00003536
-738.48184818	0.00000553
-738.44884488	-0.00000098
-738.41584158	-0.00002166
-738.38283828	-0.00003678
-738.34983498	-0.00005171
-738.31683168	-0.00007714
-738.28382838	-0.00007646
-738.25082508	-0.00006697
-738.21782178	-0.00007047
-738.18481848	-0.00006310
-738.15181518	-0.00007007
-738.11881188	-0.00009219
-738.08580858	-0.00009462
-738.05280528	-0.00008266
-738.01980198	-0.00010368
-737.98679868	-0.00007531
-737.95379538	-0.00015453
-737.92079208	-0.00015407
-737.88778878	-0.00018943
-737.85478548	-0.00015433
-737.82178218	-0.00012824
-737.78877888	-0.00017156
-737.75577558	-0.00020417
-737.72277228	-0.00019454
-737.68976898	-0.00019343
-737.65676568	-0.00020770
-737.62376238	-0.00018405
-737.59075908	-0.00020237
-737.55775578	-0.00019085
-737.52475248	-0.00022262
-737.49174917	-0.00020281
-737.45874587	-0.00019506
-737.42574257	-0.00015687
-737.39273927	-0.00017563
-737.35973597	-0.00016714
-737.32673267	-0.00009409
-737.29372937	-0.00010074
-737.26072607	-0.00005201
-737.22772277	-0.00004631
-737.19471947	-0.00008492
-737.16171617	-0.00008530
-737.12871287	-0.00001015
-737.09570957	-0.00002556
-737.06270627	-0.00005263
-737.02970297	0.00001716
-736.99669967	0.00004831
-736.96369637	0.00005635
-736.93069307	0.00003453
-736.89768977	0.00001996
-736.86468647	0.00006340
-736.83168317	0.00006629
-736.79867987	0.00006823
-736.76567657	0.00006776
-736.73267327	0.00012272
-736.69966997	0.00019410
-736.66666667	0.00014885
-736.63366337	0.00016599
-736.60066007	0.00016646
-736.56765677	0.00015989
-736.53465347	0.00019814
-736.50165017	0.00021533
-736.46864686	0.00021579
-736.43564356	0.00021219
-736.40264026	0.00029777
-736.36963696	0.00025834
-736.33663366	0.00023898
-736.30363036	0.00023135
-736.27062706	0.00026861
-736.23762376	0.00026711
-736.20462046	0.00024037
-736.17161716	0.00030185
-736.13861386	0.00024678
-736.10561056	0.00021706
-736.07260726	0.00020755
-736.03960396	0.00026018
-736.00660066	0.00020800
-735.97359736	0.00024498
-735.94059406	0.00021584
-735.90759076	0.00025506
-735.87458746	0.00023489
-735.84158416	0.00014489
-735.80858086	0.00011264
-735.77557756	0.00017093
-735.74257426	0.00015777
-735.70957096	0.00016746
-735.67656766	0.00019054
-735.64356436	0.00014935
-735.61056106	0.00012733
-735.57755776	0.00016390
-735.54455446	0.00013391
-735.51155116	0.00015949
-735.47854785	0.00013793
-735.44554455	0.00015327
-735.41254125	0.00019342
-735.37953795	0.00011329
-735.34653465	0.00014515
-735.31353135	0.00013036
-735.28052805	0.00011015
-735.24752475	0.00014545
-735.21452145	0.00015528
-735.18151815	0.00018581
-735.14851485	0.00016660
-735.11551155	0.00018242
-735.08250825	0.00021081
-735.04950495	0.00027459
-735.01650165	0.00024699
-734.98349835	0.00023205
-734.95049505	0.00031854
-734.91749175	0.00029129
-734.88448845	0.00028166
-734.85148515	0.00032168
-734.81848185	0.00028011
-734.78547855	0.00037617
-734.75247525	0.00033454
-734.71947195	0.00034345
-734.68646865	0.00038370
-734.65346535	0.00037704
-734.62046205	0.00036494
-734.58745875	0.00038960
-734.55445545	0.00038907
-734.52145215	0.00045746
-734.48844884	0.00040621
-734.45544554	0.00038150
-734.42244224	0.00046199
-734.38943894	0.00042254
-734.35643564	0.00038732
-734.32343234	0.00045423
-734.29042904	0.00048171
-734.25742574	0.00049274
-734.22442244	0.00043092
-734.19141914	0.00044239
-734.15841584	0.00047039
-734.12541254	0.00049886
-734.09240924	0.00042612
-734.05940594	0.00046023
-734.02640264	0.00042071
-733.99339934	0.00040088
-733.96039604	0.00045548
-733.92739274	0.00042299
-733.89438944	0.00048156
-733.86138614	0.00043370
-733.82838284	0.00042349
-733.79537954	0.00044760
-733.76237624	0.00037015
-733.72937294	0.00045040
-733.69636964	0.00046673
-733.66336634	0.00038529
-733.63036304	0.00041677
-733.59735974	0.00042432
-733.56435644	0.00041603
-733.53135314	0.00046790
-733.49834983	0.00041251
-733.46534653	0.00043995
-733.43234323	0.00042847
-733.39933993	0.00046539
-733.36633663	0.00042468
-733.33333333	0.00047686
-733.30033003	0.00054144
-733.26732673	0.00046995
-733.23432343	0.00047223
-733.20132013	0.00051032
-733.16831683	0.00048332
