# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 3000 waveforms. Timestamp: 2026-03-04T14:35:48
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00000646
-739.96699670	-0.00007788
-739.93399340	-0.00006227
-739.90099010	-0.00006786
-739.86798680	-0.00010416
-739.83498350	-0.00008401
-739.80198020	-0.00010508
-739.76897690	-0.00010945
-739.73597360	-0.00011322
-739.70297030	-0.00014431
-739.66996700	-0.00006388
-739.63696370	-0.00003818
-739.60396040	-0.00010785
-739.57095710	-0.00007774
-739.53795380	-0.00010826
-739.50495050	0.00000471
-739.47194719	-0.00004290
-739.43894389	-0.00003644
-739.40594059	0.00003147
-739.37293729	0.00000574
-739.33993399	0.00008735
-739.30693069	0.00007742
-739.27392739	0.00005816
-739.24092409	0.00012659
-739.20792079	0.00011947
-739.17491749	0.00019811
-739.14191419	0.00015645
-739.10891089	0.00016687
-739.07590759	0.00014315
-739.04290429	0.00017449
-739.00990099	0.00013883
-738.97689769	0.00020217
-738.94389439	0.00025515
-738.91089109	0.00017948
-738.87788779	0.00017452
-738.84488449	0.00028161
-738.81188119	0.00016810
-738.77887789	0.00016528
-738.74587459	0.00018503
-738.71287129	0.00018799
-738.67986799	0.00017011
-738.64686469	0.00009117
-738.61386139	0.00019371
-738.58085809	0.00013476
-738.54785479	0.00011859
-738.51485149	0.00008797
-738.48184818	0.00008848
-738.44884488	0.00010111
-738.41584158	0.00006041
-738.38283828	0.00005425
-738.34983498	0.00008391
-738.31683168	0.00000073
-738.28382838	0.00003069
-738.25082508	-0.00003087
-738.21782178	0.00002038
-738.18481848	0.00002099
-738.15181518	-0.00002356
-738.11881188	-0.00002291
-738.08580858	-0.00003346
-738.05280528	-0.00003640
-738.01980198	-0.00008425
-737.98679868	-0.00005557
-737.95379538	-0.00004223
-737.92079208	-0.00004264
-737.88778878	-0.00006659
-737.85478548	-0.00005575
-737.82178218	-0.00006768
-737.78877888	-0.00008306
-737.75577558	-0.00010120
-737.72277228	-0.00007313
-737.68976898	-0.00009279
-737.65676568	-0.00006341
-737.62376238	-0.00010474
-737.59075908	-0.00006970
-737.55775578	-0.00006427
-737.52475248	-0.00008194
-737.49174917	-0.00010975
-737.45874587	-0.00011818
-737.42574257	-0.00013002
-737.39273927	-0.00007135
-737.35973597	-0.00004509
-737.32673267	-0.00006032
-737.29372937	-0.00002061
-737.26072607	-0.00001728
-737.22772277	0.00000026
-737.19471947	0.00005480
-737.16171617	0.00006712
-737.12871287	0.00008930
-737.09570957	0.00006674
-737.06270627	0.00013514
-737.02970297	0.00012611
-736.99669967	0.00024604
-736.96369637	0.00025723
-736.93069307	0.00030955
-736.89768977	0.00030384
-736.86468647	0.00032680
-736.83168317	0.00043208
-736.79867987	0.00050501
-736.76567657	0.00051570
-736.73267327	0.00058150
-736.69966997	0.00068064
-736.66666667	0.00072752
-736.63366337	0.00074678
-736.60066007	0.00083203
-736.56765677	0.00086981
-736.53465347	0.00091150
-736.50165017	0.00093919
-736.46864686	0.00097047
-736.43564356	0.00095189
-736.40264026	0.00093425
-736.36963696	0.00091859
-736.33663366	0.00089278
-736.30363036	0.00087738
-736.27062706	0.00076122
-736.23762376	0.00069309
-736.20462046	0.00054762
-736.17161716	0.00040518
-736.13861386	0.00024208
-736.10561056	0.00010747
-736.07260726	-0.00016959
-736.03960396	-0.00036466
-736.00660066	-0.00060537
-735.97359736	-0.00082787
-735.94059406	-0.00112490
-735.90759076	-0.00132713
-735.87458746	-0.00152531
-735.84158416	-0.00174025
-735.80858086	-0.00189613
-735.77557756	-0.00205504
-735.74257426	-0.00220415
-735.70957096	-0.00234090
-735.67656766	-0.00238916
-735.64356436	-0.00244059
-735.61056106	-0.00254364
-735.57755776	-0.00260554
-735.54455446	-0.00263053
-735.51155116	-0.00263011
-735.47854785	-0.00263855
-735.44554455	-0.00263988
-735.41254125	-0.00248429
-735.37953795	-0.00223260
-735.34653465	-0.00196768
-735.31353135	-0.00151167
-735.28052805	-0.00112037
-735.24752475	-0.00056140
-735.21452145	0.00009523
-735.18151815	0.00061595
-735.14851485	0.00118446
-735.11551155	0.00173874
-735.08250825	0.00210063
-735.04950495	0.00242819
-735.01650165	0.00256347
-734.98349835	0.00267248
-734.95049505	0.00264247
-734.91749175	0.00249934
-734.88448845	0.00232657
-734.85148515	0.00207139
-734.81848185	0.00182441
-734.78547855	0.00156140
-734.75247525	0.00133919
-734.71947195	0.00108290
-734.68646865	0.00094418
-734.65346535	0.00079238
-734.62046205	0.00067348
-734.58745875	0.00061611
-734.55445545	0.00047679
-734.52145215	0.00042775
-734.48844884	0.00042098
-734.45544554	0.00037815
-734.42244224	0.00034104
-734.38943894	0.00033848
-734.35643564	0.00028325
-734.32343234	0.00026228
-734.29042904	0.00028020
-734.25742574	0.00024974
-734.22442244	0.00017489
-734.19141914	0.00010346
-734.15841584	0.00011028
-734.12541254	0.00010957
-734.09240924	0.00002932
-734.05940594	-0.00005653
-734.02640264	0.00003589
-733.99339934	0.00001508
-733.96039604	-0.00006371
-733.92739274	-0.00006380
-733.89438944	-0.00002131
-733.86138614	0.00006643
-733.82838284	0.00005159
-733.79537954	0.00005184
-733.76237624	0.00011853
-733.72937294	0.00015249
-733.69636964	0.00015446
-733.66336634	0.00016495
-733.63036304	0.00019256
-733.59735974	0.00018849
-733.56435644	0.00021456
-733.53135314	0.00022012
-733.49834983	0.00026484
-733.46534653	0.00021916
-733.43234323	0.00021770
-733.39933993	0.00015979
-733.36633663	0.00031065
-733.33333333	0.00021359
-733.30033003	0.00031937
-733.26732673	0.00028559
-733.23432343	0.00025659
-733.20132013	0.00026733
-733.16831683	0.00031410
-733.13531353	0.00031739
-733.10231023	0.00033100
-733.06930693	0.00028983
-733.03630363	0.00035917
-733.00330033	0.00034712
-732.97029703	0.00029751
-732.93729373	0.00035566
-732.90429043	0.00033063
-732.87128713	0.00026612
-732.83828383	0.00033567
-732.80528053	0.00024482
-732.77227723	0.00028044
-732.73927393	0.00026582
-732.70627063	0.00028184
-732.67326733	0.00027938
-732.64026403	0.00030035
-732.60726073	0.00024890
-732.57425743	0.00029828
-732.54125413	0.00031873
-732.50825083	0.00038628
-732.47524752	0.00042082
-732.44224422	0.00038839
-732.40924092	0.00051347
-732.37623762	0.00052786
-732.34323432	0.00053674
-732.31023102	0.00066800
-732.27722772	0.00069789
-732.24422442	0.00077336
-732.21122112	0.00082488
-732.17821782	0.00093280
-732.14521452	0.00096535
-732.11221122	0.00104699
-732.07920792	0.00115401
-732.04620462	0.00123026
-732.01320132	0.00130094
-731.98019802	0.00140486
-731.94719472	0.00146831
-731.91419142	0.00160432
-731.88118812	0.00168033
-731.84818482	0.00180896
-731.81518152	0.00191651
-731.78217822	0.00201081
-731.74917492	0.00209564
-731.71617162	0.00221659
-731.68316832	0.00226090
-731.65016502	0.00228890
-731.61716172	0.00228619
-731.58415842	0.00212201
-731.55115512	0.00195391
-731.51815182	0.00155654
-731.48514851	0.00105204
-731.45214521	0.00035913
-731.41914191	-0.00060277
-731.38613861	-0.00152922
-731.35313531	-0.00283521
-731.32013201	-0.00406607
-731.28712871	-0.00531383
-731.25412541	-0.00630722
-731.22112211	-0.00710079
-731.18811881	-0.00748347
-731.15511551	-0.00753507
-731.12211221	-0.00709922
-731.08910891	-0.00628763
-731.05610561	-0.00512318
-731.02310231	-0.00374428
-730.99009901	-0.00234455
-730.95709571	-0.00093273
-730.92409241	0.00027472
-730.89108911	0.00126708
-730.85808581	0.00202114
-730.82508251	0.00261945
-730.79207921	0.00301746
-730.75907591	0.00316186
-730.72607261	0.00331453
-730.69306931	0.00325619
-730.66006601	0.00305284
-730.62706271	0.00295272
-730.59405941	0.00264214
-730.56105611	0.00248341
-730.52805281	0.00225903
-730.49504950	0.00214773
-730.46204620	0.00195603
-730.42904290	0.00180416
-730.39603960	0.00165314
-730.36303630	0.00153211
-730.33003300	0.00136835
-730.29702970	0.00130549
-730.26402640	0.00113141
-730.23102310	0.00118700
-730.19801980	0.00113610
-730.16501650	0.00102262
-730.13201320	0.00099741
-730.09900990	0.00099640
-730.06600660	0.00086609
-730.03300330	0.00083461
-730.00000000	0.00071834
-729.96699670	0.00061919
-729.93399340	0.00060082
-729.90099010	0.00044750
-729.86798680	0.00040551
-729.83498350	0.00034398
-729.80198020	0.00032520
-729.76897690	0.00019811
-729.73597360	0.00031658
-729.70297030	0.00029378
-729.66996700	0.00032067
-729.63696370	0.00045266
-729.60396040	0.00045722
-729.57095710	0.00060017
-729.53795380	0.00058981
-729.50495050	0.00070109
-729.47194719	0.00076244
-729.43894389	0.00075248
-729.40594059	0.00075078
-729.37293729	0.00077788
-729.33993399	0.00077679
-729.30693069	0.00071478
-729.27392739	0.00073221
-729.24092409	0.00080488
-729.20792079	0.00072610
-729.17491749	0.00080921
-729.14191419	0.00082618
-729.10891089	0.00093477
-729.07590759	0.00105814
-729.04290429	0.00111518
-729.00990099	0.00124809
-728.97689769	0.00138068
-728.94389439	0.00140380
-728.91089109	0.00147880
-728.87788779	0.00146755
-728.84488449	0.00138508
-728.81188119	0.00127487
-728.77887789	0.00103234
-728.74587459	0.00076685
-728.71287129	0.00043622
-728.67986799	-0.00004731
-728.64686469	-0.00043815
-728.61386139	-0.00092814
-728.58085809	-0.00141316
-728.54785479	-0.00194078
-728.51485149	-0.00228482
-728.48184818	-0.00267889
-728.44884488	-0.00302302
-728.41584158	-0.00325760
-728.38283828	-0.00346295
-728.34983498	-0.00380992
-728.31683168	-0.00411506
-728.28382838	-0.00453847
-728.25082508	-0.00524597
-728.21782178	-0.00606932
-728.18481848	-0.00708978
-728.15181518	-0.00836793
-728.11881188	-0.00968977
-728.08580858	-0.01112081
-728.05280528	-0.01241145
-728.01980198	-0.01341146
-727.98679868	-0.01394319
-727.95379538	-0.01397387
-727.92079208	-0.01324908
-727.88778878	-0.01172795
-727.85478548	-0.00978630
-727.82178218	-0.00712013
-727.78877888	-0.00431292
-727.75577558	-0.00153883
-727.72277228	0.00080720
-727.68976898	0.00268636
-727.65676568	0.00378439
-727.62376238	0.00421040
-727.59075908	0.00411644
-727.55775578	0.00368327
-727.52475248	0.00308176
-727.49174917	0.00267164
-727.45874587	0.00247328
-727.42574257	0.00249405
-727.39273927	0.00282263
-727.35973597	0.00338909
-727.32673267	0.00407718
-727.29372937	0.00475271
-727.26072607	0.00546341
-727.22772277	0.00595098
-727.19471947	0.00625550
-727.16171617	0.00621974
-727.12871287	0.00593129
-727.09570957	0.00521740
-727.06270627	0.00437927
-727.02970297	0.00318820
-726.99669967	0.00205378
-726.96369637	0.00086927
-726.93069307	-0.00034045
-726.89768977	-0.00145430
-726.86468647	-0.00251899
-726.83168317	-0.00338449
-726.79867987	-0.00419045
-726.76567657	-0.00475849
-726.73267327	-0.00537496
-726.69966997	-0.00604891
-726.66666667	-0.00687930
-726.63366337	-0.00791488
-726.60066007	-0.00936735
-726.56765677	-0.01126180
-726.53465347	-0.01356520
-726.50165017	-0.01642095
-726.46864686	-0.01954577
-726.43564356	-0.02274329
-726.40264026	-0.02583418
-726.36963696	-0.02831400
-726.33663366	-0.02984027
-726.30363036	-0.03008772
-726.27062706	-0.02870089
-726.23762376	-0.02569961
-726.20462046	-0.02113853
-726.17161716	-0.01538481
-726.13861386	-0.00900940
-726.10561056	-0.00258290
-726.07260726	0.00312652
-726.03960396	0.00764785
-726.00660066	0.01058600
-725.97359736	0.01186859
-725.94059406	0.01188752
-725.90759076	0.01072211
-725.87458746	0.00916990
-725.84158416	0.00726336
-725.80858086	0.00554376
-725.77557756	0.00376657
-725.74257426	0.00246977
-725.70957096	0.00117325
-725.67656766	0.00019877
-725.64356436	-0.00042979
-725.61056106	-0.00080787
-725.57755776	-0.00080950
-725.54455446	-0.00056608
-725.51155116	-0.00018397
-725.47854785	0.00028426
-725.44554455	0.00077912
-725.41254125	0.00133019
-725.37953795	0.00200414
-725.34653465	0.00285890
-725.31353135	0.00387420
-725.28052805	0.00516425
-725.24752475	0.00655891
-725.21452145	0.00820535
-725.18151815	0.00995148
-725.14851485	0.01207374
-725.11551155	0.01442557
-725.08250825	0.01710818
-725.04950495	0.02029504
-725.01650165	0.02382842
-724.98349835	0.02805684
-724.95049505	0.03290220
-724.91749175	0.03852683
-724.88448845	0.04491490
-724.85148515	0.05206902
-724.81848185	0.05993762
-724.78547855	0.06857875
-724.75247525	0.07785708
-724.71947195	0.08783480
-724.68646865	0.09808589
-724.65346535	0.10879051
-724.62046205	0.11954581
-724.58745875	0.13028075
-724.55445545	0.14088313
-724.52145215	0.15131076
-724.48844884	0.16151394
-724.45544554	0.17170526
-724.42244224	0.18191622
-724.38943894	0.19270271
-724.35643564	0.20430704
-724.32343234	0.21719478
-724.29042904	0.23204356
-724.25742574	0.24933211
-724.22442244	0.26973499
-724.19141914	0.29365642
-724.15841584	0.32168383
-724.12541254	0.35401541
-724.09240924	0.39048493
-724.05940594	0.43072688
-724.02640264	0.47398377
-723.99339934	0.51911236
-723.96039604	0.56441005
-723.92739274	0.60790599
-723.89438944	0.64720657
-723.86138614	0.67925148
-723.82838284	0.70135915
-723.79537954	0.71020718
-723.76237624	0.70346890
-723.72937294	0.67850193
-723.69636964	0.63456921
-723.66336634	0.57097080
-723.63036304	0.48958866
-723.59735974	0.39270194
-723.56435644	0.28445195
-723.53135314	0.16982279
-723.49834983	0.05404786
-723.46534653	-0.05806722
-723.43234323	-0.16290269
-723.39933993	-0.25919993
-723.36633663	-0.34851396
-723.33333333	-0.43577378
-723.30033003	-0.52886155
-723.26732673	-0.63789597
-723.23432343	-0.77372700
-723.20132013	-0.94666033
-723.16831683	-1.16458427
-723.13531353	-1.43116379
-723.10231023	-1.74325041
-723.06930693	-2.08916314
-723.03630363	-2.44740140
-723.00330033	-2.78687981
-722.97029703	-3.07047560
-722.93729373	-3.25952719
-722.90429043	-3.31811314
-722.87128713	-3.21928489
-722.83828383	-2.94900305
-722.80528053	-2.51286903
-722.77227723	-1.93736238
-722.73927393	-1.26880179
-722.70627063	-0.56543309
-722.67326733	0.11200827
-722.64026403	0.71105176
-722.60726073	1.19556046
-722.57425743	1.55199748
-722.54125413	1.78637325
-722.50825083	1.91728463
-722.47524752	1.96684008
-722.44224422	1.95454387
-722.40924092	1.89406008
-722.37623762	1.79546397
-722.34323432	1.66820648
-722.31023102	1.52396392
-722.27722772	1.37629248
-722.24422442	1.23712840
-722.21122112	1.11342749
-722.17821782	1.00483707
-722.14521452	0.90589873
-722.11221122	0.81032817
-722.07920792	0.71523115
-722.04620462	0.62321732
-722.01320132	0.53950714
-721.98019802	0.46917798
-721.94719472	0.41286108
-721.91419142	0.36700556
-721.88118812	0.32634238
-721.84818482	0.28633309
-721.81518152	0.24525060
-721.78217822	0.20327578
-721.74917492	0.16083826
-721.71617162	0.11791971
-721.68316832	0.07394919
-721.65016502	0.02959488
-721.61716172	-0.01300924
-721.58415842	-0.05069458
-721.55115512	-0.08052280
-721.51815182	-0.10103802
-721.48514851	-0.11212279
-721.45214521	-0.11418956
-721.41914191	-0.10755101
-721.38613861	-0.09233005
-721.35313531	-0.06968547
-721.32013201	-0.04207837
-721.28712871	-0.01316957
-721.25412541	0.01319285
-721.22112211	0.03418639
-721.18811881	0.04807290
-721.15511551	0.05453425
-721.12211221	0.05386501
-721.08910891	0.04729223
