# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -730.00000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-12T15:50:41
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-730.00000000	0.00016652
-729.96699670	0.00014353
-729.93399340	0.00009883
-729.90099010	0.00004466
-729.86798680	0.00006611
-729.83498350	0.00008485
-729.80198020	0.00007570
-729.76897690	0.00008266
-729.73597360	0.00001636
-729.70297030	0.00007886
-729.66996700	-0.00000445
-729.63696370	0.00007006
-729.60396040	0.00000295
-729.57095710	-0.00003541
-729.53795380	-0.00000578
-729.50495050	0.00000719
-729.47194719	-0.00006920
-729.43894389	0.00000200
-729.40594059	-0.00007073
-729.37293729	-0.00001827
-729.33993399	-0.00003017
-729.30693069	-0.00009841
-729.27392739	-0.00010167
-729.24092409	-0.00006002
-729.20792079	-0.00013776
-729.17491749	-0.00004929
-729.14191419	-0.00003008
-729.10891089	-0.00009718
-729.07590759	-0.00008242
-729.04290429	-0.00004944
-729.00990099	-0.00005437
-728.97689769	-0.00002320
-728.94389439	-0.00004600
-728.91089109	0.00000546
-728.87788779	-0.00001503
-728.84488449	-0.00002898
-728.81188119	-0.00000683
-728.77887789	-0.00004387
-728.74587459	0.00002696
-728.71287129	0.00002994
-728.67986799	0.00005573
-728.64686469	0.00004995
-728.61386139	0.00010384
-728.58085809	0.00008121
-728.54785479	0.00006560
-728.51485149	0.00009765
-728.48184818	0.00011230
-728.44884488	0.00011710
-728.41584158	0.00014337
-728.38283828	0.00015010
-728.34983498	0.00014876
-728.31683168	0.00016076
-728.28382838	0.00014301
-728.25082508	0.00017479
-728.21782178	0.00014501
-728.18481848	0.00016025
-728.15181518	0.00016348
-728.11881188	0.00018158
-728.08580858	0.00018901
-728.05280528	0.00018149
-728.01980198	0.00021882
-727.98679868	0.00019947
-727.95379538	0.00021553
-727.92079208	0.00022761
-727.88778878	0.00020834
-727.85478548	0.00018955
-727.82178218	0.00017601
-727.78877888	0.00014015
-727.75577558	0.00015298
-727.72277228	0.00019111
-727.68976898	0.00014952
-727.65676568	0.00015308
-727.62376238	0.00018620
-727.59075908	0.00020006
-727.55775578	0.00020003
-727.52475248	0.00017524
-727.49174917	0.00020501
-727.45874587	0.00018408
-727.42574257	0.00016742
-727.39273927	0.00013831
-727.35973597	0.00014116
-727.32673267	0.00016606
-727.29372937	0.00020012
-727.26072607	0.00013748
-727.22772277	0.00011844
-727.19471947	0.00019781
-727.16171617	0.00019668
-727.12871287	0.00017917
-727.09570957	0.00016313
-727.06270627	0.00015700
-727.02970297	0.00014840
-726.99669967	0.00015281
-726.96369637	0.00008795
-726.93069307	0.00008867
-726.89768977	0.00008280
-726.86468647	0.00009613
-726.83168317	0.00010534
-726.79867987	0.00012283
-726.76567657	0.00007123
-726.73267327	0.00007074
-726.69966997	0.00011875
-726.66666667	0.00010983
-726.63366337	0.00009810
-726.60066007	0.00009232
-726.56765677	0.00010485
-726.53465347	0.00010494
-726.50165017	0.00009472
-726.46864686	0.00006532
-726.43564356	0.00005197
-726.40264026	0.00003987
-726.36963696	0.00007847
-726.33663366	0.00006928
-726.30363036	0.00012160
-726.27062706	0.00012728
-726.23762376	0.00008780
-726.20462046	0.00013105
-726.17161716	0.00014273
-726.13861386	0.00015648
-726.10561056	0.00011968
-726.07260726	0.00010202
-726.03960396	0.00013514
-726.00660066	0.00017330
-725.97359736	0.00014557
-725.94059406	0.00021605
-725.90759076	0.00023307
-725.87458746	0.00023944
-725.84158416	0.00017825
-725.80858086	0.00025782
-725.77557756	0.00017702
-725.74257426	0.00025290
-725.70957096	0.00029554
-725.67656766	0.00023126
-725.64356436	0.00026223
-725.61056106	0.00024296
-725.57755776	0.00025010
-725.54455446	0.00023711
-725.51155116	0.00024784
-725.47854785	0.00021449
-725.44554455	0.00017529
-725.41254125	0.00017275
-725.37953795	0.00016378
-725.34653465	0.00013270
-725.31353135	0.00014027
-725.28052805	0.00011676
-725.24752475	0.00004972
-725.21452145	0.00003369
-725.18151815	-0.00000232
-725.14851485	0.00001768
-725.11551155	-0.00008256
-725.08250825	-0.00011877
-725.04950495	-0.00016503
-725.01650165	-0.00015335
-724.98349835	-0.00020111
-724.95049505	-0.00022791
-724.91749175	-0.00024804
-724.88448845	-0.00031683
-724.85148515	-0.00038447
-724.81848185	-0.00041895
-724.78547855	-0.00046074
-724.75247525	-0.00049694
-724.71947195	-0.00055771
-724.68646865	-0.00053543
-724.65346535	-0.00058463
-724.62046205	-0.00057918
-724.58745875	-0.00058856
-724.55445545	-0.00066567
-724.52145215	-0.00063652
