# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-733.80000000	0.00000000
-733.76700680	0.00000047
-733.73401361	0.00000155
-733.70102041	0.00000293
-733.66802721	0.00000389
-733.63503401	0.00000423
-733.60204082	0.00000420
-733.56904762	-0.00000117
-733.53605442	-0.00000529
-733.50306122	-0.00001078
-733.47006803	-0.00002148
-733.43707483	-0.00003319
-733.40408163	-0.00004544
-733.37108844	-0.00005713
-733.33809524	-0.00007116
-733.30510204	-0.00008549
-733.27210884	-0.00009417
-733.23911565	-0.00010085
-733.20612245	-0.00011458
-733.17312925	-0.00011430
-733.14013605	-0.00009608
-733.10714286	-0.00007254
-733.07414966	-0.00006628
-733.04115646	-0.00001683
-733.00816327	0.00003201
-732.97517007	0.00009151
-732.94217687	0.00015176
-732.90918367	0.00024764
-732.87619048	0.00032086
-732.84319728	0.00045161
-732.81020408	0.00055362
-732.77721088	0.00066521
-732.74421769	0.00075427
-732.71122449	0.00086189
-732.67823129	0.00099006
-732.64523810	0.00109839
-732.61224490	0.00119178
-732.57925170	0.00127699
-732.54625850	0.00133217
-732.51326531	0.00139152
-732.48027211	0.00146387
-732.44727891	0.00149375
-732.41428571	0.00147622
-732.38129252	0.00150774
-732.34829932	0.00154206
-732.31530612	0.00159516
-732.28231293	0.00155168
-732.24931973	0.00149333
-732.21632653	0.00152405
-732.18333333	0.00149623
-732.15034014	0.00148843
-732.11734694	0.00146021
-732.08435374	0.00141099
-732.05136054	0.00138708
-732.01836735	0.00139829
-731.98537415	0.00137833
-731.95238095	0.00134528
-731.91938776	0.00135673
-731.88639456	0.00133533
-731.85340136	0.00135707
-731.82040816	0.00132434
-731.78741497	0.00132580
-731.75442177	0.00129257
-731.72142857	0.00130610
-731.68843537	0.00131032
-731.65544218	0.00131360
-731.62244898	0.00133628
-731.58945578	0.00135952
-731.55646259	0.00135346
-731.52346939	0.00136016
-731.49047619	0.00140001
-731.45748299	0.00141465
-731.42448980	0.00138748
-731.39149660	0.00139565
-731.35850340	0.00142516
-731.32551020	0.00138736
-731.29251701	0.00142413
-731.25952381	0.00144663
-731.22653061	0.00136864
-731.19353741	0.00135219
-731.16054422	0.00136380
-731.12755102	0.00132902
-731.09455782	0.00131163
-731.06156463	0.00128544
-731.02857143	0.00128714
-730.99557823	0.00126904
-730.96258503	0.00129697
-730.92959184	0.00130569
-730.89659864	0.00131739
-730.86360544	0.00127229
-730.83061224	0.00125526
-730.79761905	0.00130654
-730.76462585	0.00134628
-730.73163265	0.00132589
-730.69863946	0.00136458
-730.66564626	0.00132697
-730.63265306	0.00134775
-730.59965986	0.00138187
-730.56666667	0.00137885
-730.53367347	0.00137199
-730.50068027	0.00142522
-730.46768707	0.00141089
-730.43469388	0.00144361
-730.40170068	0.00147612
-730.36870748	0.00148216
-730.33571429	0.00151338
-730.30272109	0.00148555
-730.26972789	0.00150627
-730.23673469	0.00152909
-730.20374150	0.00157170
-730.17074830	0.00159650
-730.13775510	0.00161371
-730.10476190	0.00166785
-730.07176871	0.00170432
-730.03877551	0.00176427
-730.00578231	0.00178148
-729.97278912	0.00182441
-729.93979592	0.00184409
-729.90680272	0.00186548
-729.87380952	0.00190629
-729.84081633	0.00198198
-729.80782313	0.00203314
-729.77482993	0.00211071
-729.74183673	0.00215124
-729.70884354	0.00213307
-729.67585034	0.00216690
-729.64285714	0.00217746
-729.60986395	0.00222591
-729.57687075	0.00223743
-729.54387755	0.00223175
-729.51088435	0.00216029
-729.47789116	0.00207201
-729.44489796	0.00202651
-729.41190476	0.00194693
-729.37891156	0.00178959
-729.34591837	0.00164815
-729.31292517	0.00143506
-729.27993197	0.00122334
-729.24693878	0.00102694
-729.21394558	0.00072428
-729.18095238	0.00047111
-729.14795918	0.00025425
-729.11496599	-0.00006924
-729.08197279	-0.00034882
-729.04897959	-0.00055098
-729.01598639	-0.00072715
-728.98299320	-0.00088604
-728.95000000	-0.00102975
-728.91700680	-0.00113273
-728.88401361	-0.00115984
-728.85102041	-0.00108023
-728.81802721	-0.00103043
-728.78503401	-0.00099543
-728.75204082	-0.00078608
-728.71904762	-0.00063448
-728.68605442	-0.00040523
-728.65306122	-0.00023285
-728.62006803	0.00003074
