# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-29.93583991
0.01480668	-33.74102450
0.02961336	-55.55645069
0.04442005	-41.59085727
0.05922673	-43.40466949
0.07403341	-33.26170485
0.08884009	-28.14304080
0.10364678	-24.15581971
0.11845346	-21.39968536
0.13326014	-19.24267530
0.14806682	-16.39033848
0.16287350	-13.42149040
0.17768019	-10.87303238
0.19248687	-9.11280267
0.20729355	-8.25061539
0.22210023	-7.49220136
0.23690691	-6.53355911
0.25171360	-5.56978784
0.26652028	-4.23377938
0.28132696	-3.20528074
0.29613364	-2.87337033
0.31094033	-2.55406198
0.32574701	-2.28352408
0.34055369	-1.98526524
0.35536037	-1.06419282
0.37016705	-0.28872616
0.38497374	0.00000000
0.39978042	-0.02707632
0.41458710	-0.48595768
0.42939378	-0.67254685
0.44420046	-0.65913886
0.45900715	-1.22280371
0.47381383	-0.96397896
0.48862051	-0.39573068
0.50342719	-0.84032406
0.51823388	-0.68737184
0.53304056	-0.89206261
0.54784724	-4.18996668
0.56265392	-6.20899029
0.57746060	-2.76849978
0.59226729	-2.43556855
0.60707397	-3.33965606
0.62188065	-2.92310139
0.63668733	-2.78362910
0.65149401	-3.10302691
0.66630070	-3.11367351
0.68110738	-3.36052886
0.69591406	-3.80025393
0.71072074	-3.60176638
0.72552743	-3.68472396
0.74033411	-5.60483251
0.75514079	-7.57273998
0.76994747	-5.97478062
0.78475415	-5.60054416
0.79956084	-6.96568569
0.81436752	-7.24233096
0.82917420	-7.23669872
0.84398088	-7.94221753
0.85878756	-8.09765624
0.87359425	-8.49733999
0.88840093	-9.29881293
0.90320761	-9.63555990
0.91801429	-10.28562087
0.93282098	-11.04706956
0.94762766	-11.26906689
0.96243434	-12.07335553
0.97724102	-13.95880634
0.99204770	-15.11537190
1.00685439	-14.20236184
1.02166107	-14.03859163
1.03646775	-15.28109742
1.05127443	-15.73760936
1.06608111	-16.07414043
1.08088780	-19.42340631
1.09569448	-31.88585101
1.11050116	-25.82806679
1.12530784	-20.31548399
1.14011453	-20.68533916
1.15492121	-28.67319882
1.16972789	-28.08241674
1.18453457	-21.85507162
1.19934125	-23.46937146
1.21414794	-28.84812066
1.22895462	-25.71177105
1.24376130	-23.45429375
1.25856798	-22.53292130
1.27337466	-22.55018997
1.28818135	-23.35113330
1.30298803	-23.93362212
1.31779471	-24.89782354
1.33260139	-25.59788875
1.34740808	-25.64834737
1.36221476	-26.28868012
1.37702144	-26.27504510
1.39182812	-27.83323527
1.40663480	-38.20347011
1.42144149	-33.06344063
1.43624817	-28.41035406
1.45105485	-29.86100767
1.46586153	-31.04396460
1.48066821	-30.31374786
1.49547490	-31.55534624
1.51028158	-31.89714886
1.52508826	-31.57544973
1.53989494	-33.12068352
1.55470163	-33.71662850
1.56950831	-33.22801687
1.58431499	-35.81892019
1.59912167	-41.57286656
1.61392835	-37.65543209
1.62873504	-36.56064368
1.64354172	-40.56324436
1.65834840	-50.52265135
1.67315508	-57.67299938
1.68796176	-50.88003252
1.70276845	-48.01788348
1.71757513	-51.10549964
1.73238181	-44.87948669
1.74718849	-42.19204546
1.76199518	-43.29546402
1.77680186	-44.81893498
1.79160854	-47.76906429
1.80641522	-48.29855160
1.82122190	-43.39126117
1.83602859	-42.97860163
1.85083527	-47.18975585
1.86564195	-65.75198282
1.88044863	-49.43015456
1.89525531	-46.32628515
1.91006200	-50.74004671
1.92486868	-57.24451477
1.93967536	-47.31942771
1.95448204	-47.12366257
1.96928873	-49.28796245
1.98409541	-48.44595185
1.99890209	-48.65780937
2.01370877	-50.06969559
2.02851545	-52.25029395
2.04332214	-55.23632467
2.05812882	-52.96591195
2.07293550	-52.91344050
2.08774218	-53.92981856
2.10254886	-51.52216124
2.11735555	-51.01328022
2.13216223	-53.10548996
2.14696891	-57.57932195
2.16177559	-70.89133210
2.17658228	-65.05441758
2.19138896	-63.25607204
2.20619564	-76.28240102
2.22100232	-66.87906758
2.23580900	-63.00812786
2.25061569	-64.72540205
2.26542237	-77.75081980
2.28022905	-61.26429710
2.29503573	-56.65109230
2.30984241	-57.16229527
2.32464910	-61.31324964
2.33945578	-64.80553042
2.35426246	-67.05009462
2.36906914	-68.18451962
2.38387583	-71.31148634
2.39868251	-72.45570305
2.41348919	-62.84359363
2.42829587	-61.96335493
2.44310255	-66.38873324
2.45790924	-79.76296731
2.47271592	-71.63805555
2.48752260	-64.82208622
2.50232928	-63.31962490
2.51713596	-64.78364801
2.53194265	-64.63326955
2.54674933	-64.36643962
2.56155601	-66.60026670
2.57636269	-67.31501946
2.59116938	-67.33249739
2.60597606	-70.98831974
2.62078274	-78.53431822
2.63558942	-79.82361688
2.65039610	-88.88180455
2.66520279	-99.90899980
2.68000947	-80.25996311
2.69481615	-73.74271872
2.70962283	-70.96936312
2.72442951	-69.86542069
2.73923620	-71.62269240
2.75404288	-78.96721974
2.76884956	-82.54272217
2.78365624	-81.17495372
2.79846293	-74.55406140
2.81326961	-71.51611018
2.82807629	-71.36816153
2.84288297	-72.12440539
2.85768965	-73.47694274
2.87249634	-78.72700569
