# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-733.80000000	0.00000000
-733.76700680	-0.00000127
-733.73401361	-0.00000511
-733.70102041	-0.00001083
-733.66802721	-0.00001856
-733.63503401	-0.00002715
-733.60204082	-0.00003515
-733.56904762	-0.00004262
-733.53605442	-0.00004691
-733.50306122	-0.00005160
-733.47006803	-0.00004738
-733.43707483	-0.00004309
-733.40408163	-0.00002909
-733.37108844	0.00000031
-733.33809524	0.00002552
-733.30510204	0.00005792
-733.27210884	0.00009711
-733.23911565	0.00014666
-733.20612245	0.00018804
-733.17312925	0.00022973
-733.14013605	0.00029555
-733.10714286	0.00033334
-733.07414966	0.00039058
-733.04115646	0.00044419
-733.00816327	0.00047438
-732.97517007	0.00050787
-732.94217687	0.00053050
-732.90918367	0.00052613
-732.87619048	0.00057141
-732.84319728	0.00054750
-732.81020408	0.00056136
-732.77721088	0.00052219
-732.74421769	0.00054036
-732.71122449	0.00050521
-732.67823129	0.00047924
-732.64523810	0.00046832
-732.61224490	0.00045252
-732.57925170	0.00039799
-732.54625850	0.00038885
-732.51326531	0.00032916
-732.48027211	0.00031148
-732.44727891	0.00033742
-732.41428571	0.00032245
-732.38129252	0.00033035
-732.34829932	0.00027075
-732.31530612	0.00028371
-732.28231293	0.00031559
-732.24931973	0.00027683
-732.21632653	0.00024155
-732.18333333	0.00026022
-732.15034014	0.00031847
-732.11734694	0.00032735
-732.08435374	0.00028424
-732.05136054	0.00034514
-732.01836735	0.00040054
-731.98537415	0.00038083
-731.95238095	0.00035980
-731.91938776	0.00041175
-731.88639456	0.00043876
-731.85340136	0.00045141
-731.82040816	0.00042411
-731.78741497	0.00042092
-731.75442177	0.00041480
-731.72142857	0.00040901
-731.68843537	0.00043628
-731.65544218	0.00036986
-731.62244898	0.00033758
-731.58945578	0.00036714
-731.55646259	0.00035483
-731.52346939	0.00033334
-731.49047619	0.00040345
-731.45748299	0.00036628
-731.42448980	0.00040027
-731.39149660	0.00032978
-731.35850340	0.00040172
-731.32551020	0.00040061
-731.29251701	0.00040508
-731.25952381	0.00036967
-731.22653061	0.00037991
-731.19353741	0.00041526
-731.16054422	0.00041838
-731.12755102	0.00038786
-731.09455782	0.00046581
-731.06156463	0.00047557
-731.02857143	0.00051294
-730.99557823	0.00049968
-730.96258503	0.00047891
-730.92959184	0.00046522
-730.89659864	0.00052343
-730.86360544	0.00053517
-730.83061224	0.00056418
-730.79761905	0.00057620
-730.76462585	0.00059375
-730.73163265	0.00055846
-730.69863946	0.00059288
-730.66564626	0.00061702
-730.63265306	0.00066443
-730.59965986	0.00071495
-730.56666667	0.00076232
-730.53367347	0.00079981
-730.50068027	0.00083625
-730.46768707	0.00084267
-730.43469388	0.00093811
-730.40170068	0.00100875
-730.36870748	0.00107373
-730.33571429	0.00114805
-730.30272109	0.00120942
-730.26972789	0.00127220
-730.23673469	0.00132047
-730.20374150	0.00139396
-730.17074830	0.00143596
-730.13775510	0.00150306
-730.10476190	0.00152581
-730.07176871	0.00152360
-730.03877551	0.00153132
-730.00578231	0.00149483
-729.97278912	0.00150559
-729.93979592	0.00142235
-729.90680272	0.00127305
-729.87380952	0.00113118
-729.84081633	0.00100470
-729.80782313	0.00079297
-729.77482993	0.00056698
-729.74183673	0.00020286
-729.70884354	-0.00011329
-729.67585034	-0.00052776
-729.64285714	-0.00090982
-729.60986395	-0.00128289
-729.57687075	-0.00164221
-729.54387755	-0.00192497
-729.51088435	-0.00222032
-729.47789116	-0.00241937
-729.44489796	-0.00256194
-729.41190476	-0.00264470
-729.37891156	-0.00264225
-729.34591837	-0.00264906
-729.31292517	-0.00252868
-729.27993197	-0.00233679
-729.24693878	-0.00210023
-729.21394558	-0.00186673
-729.18095238	-0.00155728
-729.14795918	-0.00124712
-729.11496599	-0.00083860
-729.08197279	-0.00052730
-729.04897959	-0.00021591
-729.01598639	0.00012579
-728.98299320	0.00053036
-728.95000000	0.00082080
-728.91700680	0.00105364
-728.88401361	0.00127667
-728.85102041	0.00148171
-728.81802721	0.00163185
-728.78503401	0.00172737
-728.75204082	0.00182855
-728.71904762	0.00191592
-728.68605442	0.00193189
-728.65306122	0.00191258
-728.62006803	0.00189864
-728.58707483	0.00185993
-728.55408163	0.00177244
-728.52108844	0.00174259
-728.48809524	0.00156091
-728.45510204	0.00150998
-728.42210884	0.00143415
-728.38911565	0.00131823
-728.35612245	0.00114801
-728.32312925	0.00104058
-728.29013605	0.00097351
-728.25714286	0.00080962
-728.22414966	0.00070513
-728.19115646	0.00061531
-728.15816327	0.00048325
-728.12517007	0.00041988
-728.09217687	0.00034571
-728.05918367	0.00028032
-728.02619048	0.00025738
-727.99319728	0.00024660
-727.96020408	0.00030176
-727.92721088	0.00032457
-727.89421769	0.00032813
-727.86122449	0.00046151
-727.82823129	0.00051424
-727.79523810	0.00058153
-727.76224490	0.00066210
-727.72925170	0.00070016
