# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-42.42714318
0.01480668	-43.63045189
0.02961336	-50.54924474
0.04442005	-50.55867634
0.05922673	-43.47925987
0.07403341	-35.79839325
0.08884009	-31.61263745
0.10364678	-27.55730250
0.11845346	-23.25036765
0.13326014	-20.60745833
0.14806682	-17.81645939
0.16287350	-14.42229078
0.17768019	-12.19382787
0.19248687	-10.67251476
0.20729355	-9.22843291
0.22210023	-7.98644640
0.23690691	-6.80798998
0.25171360	-5.91091961
0.26652028	-5.14977901
0.28132696	-4.38778248
0.29613364	-4.09683768
0.31094033	-3.67666288
0.32574701	-3.02743066
0.34055369	-2.72600813
0.35536037	-1.95230390
0.37016705	-1.14547882
0.38497374	-0.87615933
0.39978042	-0.55497083
0.41458710	-0.70286023
0.42939378	-1.13689231
0.44420046	-0.84917977
0.45900715	-0.77465955
0.47381383	-0.54218183
0.48862051	-0.12218350
0.50342719	-0.44108575
0.51823388	0.00000000
0.53304056	-0.02580296
0.54784724	-3.36746784
0.56265392	-5.10521286
0.57746060	-1.41883130
0.59226729	-0.95091202
0.60707397	-1.55303403
0.62188065	-1.29469754
0.63668733	-1.46600235
0.65149401	-1.87493559
0.66630070	-2.12998676
0.68110738	-2.62592972
0.69591406	-3.17661884
0.71072074	-3.15452339
0.72552743	-3.11246426
0.74033411	-4.85149347
0.75514079	-6.78289089
0.76994747	-4.82003712
0.78475415	-4.35133427
0.79956084	-5.65284203
0.81436752	-5.81012012
0.82917420	-6.03668981
0.84398088	-6.78712080
0.85878756	-6.78539546
0.87359425	-7.26253811
0.88840093	-7.82845275
0.90320761	-8.07180532
0.91801429	-8.83874201
0.93282098	-9.28496694
0.94762766	-9.50119013
0.96243434	-10.30685336
0.97724102	-11.79635292
0.99204770	-13.13705881
1.00685439	-12.07446569
1.02166107	-11.68149917
1.03646775	-13.17162608
1.05127443	-13.38738434
1.06608111	-13.45093102
1.08088780	-16.95509124
1.09569448	-29.34411195
1.11050116	-23.37490329
1.12530784	-17.32007207
1.14011453	-17.26224669
1.15492121	-25.08245953
1.16972789	-24.33098151
1.18453457	-18.44115472
1.19934125	-20.32968332
1.21414794	-25.17569156
1.22895462	-22.59216341
1.24376130	-20.37240926
1.25856798	-19.13296307
1.27337466	-19.37557086
1.28818135	-19.99985768
1.30298803	-20.08528513
1.31779471	-21.22523185
1.33260139	-21.55357295
1.34740808	-21.29974345
1.36221476	-22.19158201
1.37702144	-21.73148599
1.39182812	-23.01142626
