# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-733.80000000	0.00000000
-733.76700680	-0.00000008
-733.73401361	-0.00000030
-733.70102041	-0.00000041
-733.66802721	-0.00000095
-733.63503401	-0.00000069
-733.60204082	-0.00000089
-733.56904762	0.00000007
-733.53605442	0.00000054
-733.50306122	0.00000342
-733.47006803	0.00000202
-733.43707483	0.00000261
-733.40408163	0.00000781
-733.37108844	0.00001725
-733.33809524	0.00002127
-733.30510204	0.00002047
-733.27210884	0.00002277
-733.23911565	0.00002697
-733.20612245	0.00002911
-733.17312925	0.00001689
-733.14013605	0.00004778
-733.10714286	0.00001551
-733.07414966	0.00000501
-733.04115646	0.00001544
-733.00816327	0.00000549
-732.97517007	-0.00001226
-732.94217687	-0.00004566
-732.90918367	-0.00008455
-732.87619048	-0.00008672
-732.84319728	-0.00014432
-732.81020408	-0.00021671
-732.77721088	-0.00023760
-732.74421769	-0.00032720
-732.71122449	-0.00038658
-732.67823129	-0.00046595
-732.64523810	-0.00056631
-732.61224490	-0.00063384
-732.57925170	-0.00072383
-732.54625850	-0.00078526
-732.51326531	-0.00092133
-732.48027211	-0.00102309
-732.44727891	-0.00108587
-732.41428571	-0.00115049
-732.38129252	-0.00125318
-732.34829932	-0.00129743
-732.31530612	-0.00137133
-732.28231293	-0.00141700
-732.24931973	-0.00143648
-732.21632653	-0.00146012
-732.18333333	-0.00145825
-732.15034014	-0.00151593
-732.11734694	-0.00144059
-732.08435374	-0.00141273
-732.05136054	-0.00133245
-732.01836735	-0.00122965
-731.98537415	-0.00120402
-731.95238095	-0.00101769
-731.91938776	-0.00096536
-731.88639456	-0.00083841
-731.85340136	-0.00072594
-731.82040816	-0.00059145
-731.78741497	-0.00043675
-731.75442177	-0.00031411
-731.72142857	-0.00022575
-731.68843537	-0.00000850
-731.65544218	0.00010007
-731.62244898	0.00020015
-731.58945578	0.00027434
-731.55646259	0.00038575
-731.52346939	0.00041859
-731.49047619	0.00049894
-731.45748299	0.00059913
-731.42448980	0.00064190
-731.39149660	0.00062123
-731.35850340	0.00069041
-731.32551020	0.00070632
-731.29251701	0.00069333
-731.25952381	0.00066086
-731.22653061	0.00062974
-731.19353741	0.00058020
-731.16054422	0.00061164
-731.12755102	0.00057293
-731.09455782	0.00052905
-731.06156463	0.00045797
-731.02857143	0.00036126
-730.99557823	0.00028054
-730.96258503	0.00021383
-730.92959184	0.00019509
-730.89659864	0.00018196
-730.86360544	0.00013837
-730.83061224	0.00006353
-730.79761905	0.00004323
-730.76462585	0.00001932
-730.73163265	-0.00004034
-730.69863946	-0.00008882
-730.66564626	-0.00007379
-730.63265306	-0.00007730
-730.59965986	-0.00010509
-730.56666667	-0.00015601
-730.53367347	-0.00022830
-730.50068027	-0.00021868
-730.46768707	-0.00020113
-730.43469388	-0.00015275
-730.40170068	-0.00011657
-730.36870748	-0.00014096
-730.33571429	-0.00017000
-730.30272109	-0.00011356
-730.26972789	-0.00013174
-730.23673469	-0.00013581
-730.20374150	-0.00011965
-730.17074830	-0.00011205
-730.13775510	-0.00009737
-730.10476190	-0.00014912
-730.07176871	-0.00014010
-730.03877551	-0.00012795
-730.00578231	-0.00004863
-729.97278912	-0.00007126
-729.93979592	-0.00005265
-729.90680272	-0.00004141
-729.87380952	-0.00007211
-729.84081633	-0.00008380
-729.80782313	-0.00008978
-729.77482993	-0.00006387
-729.74183673	-0.00003382
-729.70884354	-0.00003324
-729.67585034	-0.00005439
-729.64285714	-0.00007175
-729.60986395	-0.00002943
-729.57687075	-0.00000726
-729.54387755	0.00001566
-729.51088435	0.00001974
-729.47789116	-0.00002468
-729.44489796	-0.00001060
-729.41190476	0.00000425
-729.37891156	-0.00002336
-729.34591837	-0.00004035
-729.31292517	0.00003462
-729.27993197	0.00007388
-729.24693878	0.00008482
-729.21394558	0.00017257
-729.18095238	0.00008902
-729.14795918	0.00011135
-729.11496599	0.00016848
-729.08197279	0.00025986
-729.04897959	0.00019979
-729.01598639	0.00023502
-728.98299320	0.00031927
-728.95000000	0.00031136
-728.91700680	0.00033366
-728.88401361	0.00040957
-728.85102041	0.00046364
-728.81802721	0.00049033
-728.78503401	0.00051426
-728.75204082	0.00057101
-728.71904762	0.00063097
-728.68605442	0.00062742
-728.65306122	0.00066953
-728.62006803	0.00061801
-728.58707483	0.00062288
-728.55408163	0.00062980
-728.52108844	0.00059317
-728.48809524	0.00050529
-728.45510204	0.00047552
-728.42210884	0.00036376
-728.38911565	0.00029021
-728.35612245	0.00011926
-728.32312925	0.00000443
-728.29013605	-0.00015134
-728.25714286	-0.00021814
-728.22414966	-0.00047069
-728.19115646	-0.00061394
-728.15816327	-0.00074928
-728.12517007	-0.00101541
-728.09217687	-0.00118978
-728.05918367	-0.00134991
-728.02619048	-0.00153720
-727.99319728	-0.00166095
-727.96020408	-0.00180097
-727.92721088	-0.00183288
-727.89421769	-0.00198026
-727.86122449	-0.00201912
-727.82823129	-0.00204656
-727.79523810	-0.00211738
-727.76224490	-0.00208826
-727.72925170	-0.00208380
-727.69625850	-0.00203092
-727.66326531	-0.00188766
-727.63027211	-0.00180221
-727.59727891	-0.00168027
-727.56428571	-0.00148613
-727.53129252	-0.00126358
-727.49829932	-0.00109278
-727.46530612	-0.00096448
-727.43231293	-0.00077168
-727.39931973	-0.00047715
-727.36632653	-0.00026503
-727.33333333	-0.00015204
-727.30034014	0.00009104
-727.26734694	0.00023520
-727.23435374	0.00041152
-727.20136054	0.00062621
-727.16836735	0.00066776
-727.13537415	0.00084367
-727.10238095	0.00093312
-727.06938776	0.00105092
-727.03639456	0.00113995
-727.00340136	0.00114426
-726.97040816	0.00117864
-726.93741497	0.00121301
-726.90442177	0.00121677
-726.87142857	0.00117834
-726.83843537	0.00111954
-726.80544218	0.00110366
-726.77244898	0.00103218
-726.73945578	0.00098387
-726.70646259	0.00089408
-726.67346939	0.00082857
-726.64047619	0.00077848
-726.60748299	0.00067467
-726.57448980	0.00063640
-726.54149660	0.00059988
-726.50850340	0.00051991
-726.47551020	0.00043233
-726.44251701	0.00043285
-726.40952381	0.00036036
-726.37653061	0.00037799
-726.34353741	0.00035246
-726.31054422	0.00030319
-726.27755102	0.00031241
-726.24455782	0.00032641
-726.21156463	0.00034015
-726.17857143	0.00033428
-726.14557823	0.00039542
-726.11258503	0.00043981
-726.07959184	0.00042233
-726.04659864	0.00049349
-726.01360544	0.00054951
-725.98061224	0.00059166
-725.94761905	0.00057158
-725.91462585	0.00067955
-725.88163265	0.00073047
-725.84863946	0.00071535
-725.81564626	0.00077612
-725.78265306	0.00081456
-725.74965986	0.00088510
-725.71666667	0.00089278
-725.68367347	0.00088624
-725.65068027	0.00096009
-725.61768707	0.00096113
-725.58469388	0.00089735
-725.55170068	0.00094065
-725.51870748	0.00091785
-725.48571429	0.00084666
-725.45272109	0.00080229
-725.41972789	0.00072989
-725.38673469	0.00062378
-725.35374150	0.00052493
-725.32074830	0.00040472
-725.28775510	0.00027805
-725.25476190	0.00007395
-725.22176871	-0.00008658
-725.18877551	-0.00027162
-725.15578231	-0.00051719
-725.12278912	-0.00078163
-725.08979592	-0.00095819
-725.05680272	-0.00124658
-725.02380952	-0.00151302
-724.99081633	-0.00176301
-724.95782313	-0.00201205
-724.92482993	-0.00229442
-724.89183673	-0.00255022
-724.85884354	-0.00278298
-724.82585034	-0.00302787
-724.79285714	-0.00315895
-724.75986395	-0.00334080
-724.72687075	-0.00349403
-724.69387755	-0.00358171
-724.66088435	-0.00375532
-724.62789116	-0.00371704
-724.59489796	-0.00370632
-724.56190476	-0.00374965
-724.52891156	-0.00367724
-724.49591837	-0.00359819
-724.46292517	-0.00342310
-724.42993197	-0.00333282
-724.39693878	-0.00313948
-724.36394558	-0.00301311
-724.33095238	-0.00274263
-724.29795918	-0.00261583
-724.26496599	-0.00242165
-724.23197279	-0.00219745
-724.19897959	-0.00200668
-724.16598639	-0.00183316
-724.13299320	-0.00169928
-724.10000000	-0.00150699
-724.06700680	-0.00145455
-724.03401361	-0.00134662
-724.00102041	-0.00134796
-723.96802721	-0.00135031
-723.93503401	-0.00144069
-723.90204082	-0.00156864
-723.86904762	-0.00158916
-723.83605442	-0.00197308
-723.80306122	-0.00210836
-723.77006803	-0.00249030
-723.73707483	-0.00285262
-723.70408163	-0.00329035
-723.67108844	-0.00376358
-723.63809524	-0.00424787
-723.60510204	-0.00486707
-723.57210884	-0.00543674
-723.53911565	-0.00614638
-723.50612245	-0.00679999
-723.47312925	-0.00747714
-723.44013605	-0.00821774
-723.40714286	-0.00882564
-723.37414966	-0.00962101
-723.34115646	-0.01023924
-723.30816327	-0.01088780
-723.27517007	-0.01142240
-723.24217687	-0.01200864
-723.20918367	-0.01241043
-723.17619048	-0.01286265
-723.14319728	-0.01314549
-723.11020408	-0.01332604
-723.07721088	-0.01344507
-723.04421769	-0.01342863
-723.01122449	-0.01340263
-722.97823129	-0.01313840
-722.94523810	-0.01290124
-722.91224490	-0.01240194
-722.87925170	-0.01202654
-722.84625850	-0.01141317
-722.81326531	-0.01074712
-722.78027211	-0.01003952
-722.74727891	-0.00930002
-722.71428571	-0.00850317
-722.68129252	-0.00763025
-722.64829932	-0.00678258
-722.61530612	-0.00598871
-722.58231293	-0.00504942
-722.54931973	-0.00420548
-722.51632653	-0.00347517
-722.48333333	-0.00264274
-722.45034014	-0.00195582
-722.41734694	-0.00120618
-722.38435374	-0.00054979
-722.35136054	0.00016261
-722.31836735	0.00068740
-722.28537415	0.00123539
-722.25238095	0.00181873
-722.21938776	0.00236415
-722.18639456	0.00285023
-722.15340136	0.00341211
-722.12040816	0.00397627
-722.08741497	0.00462456
-722.05442177	0.00527140
-722.02142857	0.00600182
-721.98843537	0.00689933
-721.95544218	0.00791483
-721.92244898	0.00901899
-721.88945578	0.01028931
-721.85646259	0.01184747
-721.82346939	0.01356841
-721.79047619	0.01555393
-721.75748299	0.01777967
-721.72448980	0.02028364
-721.69149660	0.02312166
-721.65850340	0.02623644
-721.62551020	0.02980593
-721.59251701	0.03363024
-721.55952381	0.03789597
-721.52653061	0.04265038
-721.49353741	0.04774606
-721.46054422	0.05337865
-721.42755102	0.05942910
-721.39455782	0.06605087
-721.36156463	0.07319738
-721.32857143	0.08092239
-721.29557823	0.08934276
-721.26258503	0.09825011
-721.22959184	0.10785544
-721.19659864	0.11811990
-721.16360544	0.12900647
-721.13061224	0.14051269
-721.09761905	0.15262698
-721.06462585	0.16540114
-721.03163265	0.17850491
-720.99863946	0.19219922
-720.96564626	0.20605825
-720.93265306	0.22003881
-720.89965986	0.23407528
-720.86666667	0.24792460
-720.83367347	0.26120740
-720.80068027	0.27372380
-720.76768707	0.28526891
-720.73469388	0.29545630
-720.70170068	0.30390194
-720.66870748	0.31042148
-720.63571429	0.31448212
-720.60272109	0.31571943
-720.56972789	0.31381862
-720.53673469	0.30821515
-720.50374150	0.29870457
-720.47074830	0.28483325
-720.43775510	0.26612751
-720.40476190	0.24237911
-720.37176871	0.21319535
-720.33877551	0.17843511
-720.30578231	0.13791289
-720.27278912	0.09144032
-720.23979592	0.03912346
-720.20680272	-0.01878752
-720.17380952	-0.08229135
-720.14081633	-0.15062785
-720.10782313	-0.22337943
-720.07482993	-0.29977672
-720.04183673	-0.37891556
-720.00884354	-0.45964351
-719.97585034	-0.54067068
-719.94285714	-0.62083957
-719.90986395	-0.69866065
-719.87687075	-0.77271408
-719.84387755	-0.84132297
-719.81088435	-0.90316573
-719.77789116	-0.95675251
-719.74489796	-1.00061619
-719.71190476	-1.03366166
-719.67891156	-1.05477202
-719.64591837	-1.06325312
-719.61292517	-1.05840399
-719.57993197	-1.04002681
-719.54693878	-1.00808669
-719.51394558	-0.96275877
-719.48095238	-0.90478135
-719.44795918	-0.83468950
-719.41496599	-0.75376778
-719.38197279	-0.66307902
-719.34897959	-0.56423587
-719.31598639	-0.45881048
-719.28299320	-0.34856433
-719.25000000	-0.23521294
-719.21700680	-0.12069186
-719.18401361	-0.00674961
-719.15102041	0.10488764
-719.11802721	0.21238754
-719.08503401	0.31448668
-719.05204082	0.40941297
-719.01904762	0.49622667
-718.98605442	0.57373619
-718.95306122	0.64128017
-718.92006803	0.69814148
-718.88707483	0.74401499
-718.85408163	0.77869688
-718.82108844	0.80222368
