# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-45.91200399
0.01480668	-48.42068864
0.02961336	-54.56156725
0.04442005	-57.89366801
0.05922673	-58.26381382
0.07403341	-38.24729561
0.08884009	-29.04648821
0.10364678	-23.91734208
0.11845346	-20.33794474
0.13326014	-17.81793060
0.14806682	-16.46486732
0.16287350	-14.90488664
0.17768019	-12.73303118
0.19248687	-11.15161362
0.20729355	-9.15892019
0.22210023	-6.64705417
0.23690691	-5.16484415
0.25171360	-4.83468190
0.26652028	-4.95061439
0.28132696	-5.18440326
0.29613364	-5.09432205
0.31094033	-4.27944026
0.32574701	-3.20254416
0.34055369	-1.97579895
0.35536037	-1.07899692
0.37016705	-1.10051318
0.38497374	-1.63806537
0.39978042	-2.01925356
0.41458710	-2.29109209
0.42939378	-2.00727527
0.44420046	-1.13879277
0.45900715	-0.39490545
0.47381383	0.00000000
0.48862051	-0.41676495
0.50342719	-1.50466382
0.51823388	-1.68388400
0.53304056	-2.11149115
0.54784724	-5.25093775
0.56265392	-6.20412403
0.57746060	-2.57665873
0.59226729	-1.99756701
0.60707397	-3.28104586
0.62188065	-3.63284736
0.63668733	-3.84331147
0.65149401	-4.70046598
0.66630070	-4.82912021
0.68110738	-5.25226304
0.69591406	-6.42700590
0.71072074	-6.65773193
0.72552743	-7.20882601
0.74033411	-9.86926414
0.75514079	-11.83465657
0.76994747	-10.49463460
0.78475415	-10.43218671
0.79956084	-11.70568338
0.81436752	-12.60475912
0.82917420	-13.21364167
0.84398088	-14.19283672
0.85878756	-15.01689927
0.87359425	-15.68345751
0.88840093	-16.67722520
0.90320761	-17.66910460
0.91801429	-18.55388433
0.93282098	-19.65679686
0.94762766	-20.48635005
0.96243434	-21.45305480
0.97724102	-23.74601721
0.99204770	-25.35585775
1.00685439	-24.52362852
1.02166107	-24.91202379
1.03646775	-26.56515082
1.05127443	-27.30830423
1.06608111	-28.25257896
1.08088780	-31.97414852
1.09569448	-44.42488121
1.11050116	-38.67169179
1.12530784	-33.56062397
1.14011453	-34.67291168
1.15492121	-43.70208799
1.16972789	-42.88036553
1.18453457	-37.05850023
1.19934125	-38.69828444
1.21414794	-44.88374528
1.22895462	-42.25595847
1.24376130	-40.09792438
1.25856798	-40.28628926
1.27337466	-40.50700866
1.28818135	-41.26362526
1.30298803	-42.84285585
1.31779471	-43.68010590
1.33260139	-44.35203972
1.34740808	-45.54902103
1.36221476	-45.78197584
1.37702144	-46.10990947
1.39182812	-48.99054596
1.40663480	-59.14576130
1.42144149	-54.73621564
1.43624817	-49.69782930
1.45105485	-50.54423600
1.46586153	-53.16923640
1.48066821	-52.32775018
1.49547490	-53.13150648
1.51028158	-55.21069012
1.52508826	-54.47692749
1.53989494	-55.96376389
1.55470163	-58.54237004
1.56950831	-57.43522507
1.58431499	-60.07646016
1.59912167	-68.94995254
1.61392835	-62.78952856
1.62873504	-63.10242498
1.64354172	-70.35291481
1.65834840	-88.51144044
1.67315508	-83.89597331
1.68796176	-75.03526286
1.70276845	-75.89916697
1.71757513	-84.28743130
1.73238181	-76.37726756
1.74718849	-72.70185547
1.76199518	-71.89134605
1.77680186	-75.18010014
1.79160854	-79.16193753
1.80641522	-76.99139729
1.82122190	-77.76710770
1.83602859	-75.65173286
1.85083527	-76.31778357
1.86564195	-90.28619969
1.88044863	-78.85620794
1.89525531	-78.77809741
1.91006200	-99.25558277
1.92486868	-86.41022319
1.93967536	-89.24345684
1.95448204	-84.98161439
1.96928873	-81.50822629
1.98409541	-87.83755013
1.99890209	-86.66137790
2.01370877	-87.27922418
2.02851545	-99.04291259
2.04332214	-87.07867645
2.05812882	-86.43299309
2.07293550	-101.16660871
2.08774218	-96.29785316
2.10254886	-91.38630764
2.11735555	-90.24581752
2.13216223	-86.55714865
2.14696891	-85.59051292
2.16177559	-95.14715717
2.17658228	-90.19802064
2.19138896	-90.83431147
2.20619564	-109.34491926
2.22100232	-89.83683329
2.23580900	-87.69042751
2.25061569	-88.45103462
2.26542237	-87.38095022
2.28022905	-87.93530753
