# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -730.00000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-12T15:56:58
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-730.00000000	0.00117563
-729.96699670	0.00113112
-729.93399340	0.00110729
-729.90099010	0.00112945
-729.86798680	0.00116811
-729.83498350	0.00106597
-729.80198020	0.00103747
-729.76897690	0.00098125
-729.73597360	0.00092066
-729.70297030	0.00086886
-729.66996700	0.00075675
-729.63696370	0.00066924
-729.60396040	0.00054902
-729.57095710	0.00044445
-729.53795380	0.00023043
-729.50495050	0.00014985
-729.47194719	0.00000341
-729.43894389	-0.00019015
-729.40594059	-0.00036284
-729.37293729	-0.00055673
-729.33993399	-0.00065964
-729.30693069	-0.00084976
-729.27392739	-0.00097040
-729.24092409	-0.00110149
-729.20792079	-0.00121314
-729.17491749	-0.00138404
-729.14191419	-0.00146209
-729.10891089	-0.00149599
-729.07590759	-0.00152169
-729.04290429	-0.00162102
-729.00990099	-0.00157691
-728.97689769	-0.00157391
-728.94389439	-0.00154426
-728.91089109	-0.00142378
-728.87788779	-0.00139206
-728.84488449	-0.00126925
-728.81188119	-0.00110321
-728.77887789	-0.00090773
-728.74587459	-0.00070861
-728.71287129	-0.00039741
-728.67986799	-0.00010900
-728.64686469	0.00019594
-728.61386139	0.00050697
-728.58085809	0.00075754
-728.54785479	0.00108513
-728.51485149	0.00134300
-728.48184818	0.00153272
-728.44884488	0.00173304
-728.41584158	0.00187002
-728.38283828	0.00195475
-728.34983498	0.00197595
-728.31683168	0.00189960
-728.28382838	0.00185861
-728.25082508	0.00176354
-728.21782178	0.00166907
-728.18481848	0.00151098
-728.15181518	0.00142678
-728.11881188	0.00127764
-728.08580858	0.00115364
-728.05280528	0.00104875
-728.01980198	0.00096020
-727.98679868	0.00089302
-727.95379538	0.00080237
-727.92079208	0.00070182
-727.88778878	0.00069713
-727.85478548	0.00067549
-727.82178218	0.00064822
-727.78877888	0.00066489
-727.75577558	0.00066125
-727.72277228	0.00066406
-727.68976898	0.00063826
-727.65676568	0.00064630
-727.62376238	0.00064452
-727.59075908	0.00066043
-727.55775578	0.00067665
-727.52475248	0.00061961
-727.49174917	0.00061348
-727.45874587	0.00060855
-727.42574257	0.00060561
-727.39273927	0.00054391
-727.35973597	0.00055585
-727.32673267	0.00056833
-727.29372937	0.00060103
-727.26072607	0.00059696
-727.22772277	0.00062059
-727.19471947	0.00063246
-727.16171617	0.00063131
-727.12871287	0.00066719
-727.09570957	0.00069850
-727.06270627	0.00065474
-727.02970297	0.00073819
-726.99669967	0.00070235
-726.96369637	0.00072338
-726.93069307	0.00065539
-726.89768977	0.00065996
-726.86468647	0.00061960
-726.83168317	0.00057017
-726.79867987	0.00052862
-726.76567657	0.00042605
-726.73267327	0.00035455
-726.69966997	0.00033943
-726.66666667	0.00036548
-726.63366337	0.00036277
-726.60066007	0.00036135
-726.56765677	0.00042640
-726.53465347	0.00039675
-726.50165017	0.00046363
-726.46864686	0.00048454
-726.43564356	0.00056566
-726.40264026	0.00058751
-726.36963696	0.00058691
-726.33663366	0.00057643
-726.30363036	0.00059819
-726.27062706	0.00059622
-726.23762376	0.00058073
-726.20462046	0.00056135
-726.17161716	0.00052143
-726.13861386	0.00045315
-726.10561056	0.00041464
-726.07260726	0.00048711
-726.03960396	0.00043426
-726.00660066	0.00044062
-725.97359736	0.00042667
-725.94059406	0.00045431
-725.90759076	0.00051362
-725.87458746	0.00050106
-725.84158416	0.00059370
-725.80858086	0.00065024
-725.77557756	0.00064183
-725.74257426	0.00074076
-725.70957096	0.00081373
-725.67656766	0.00084158
-725.64356436	0.00095573
-725.61056106	0.00095486
-725.57755776	0.00106966
-725.54455446	0.00114207
-725.51155116	0.00123784
-725.47854785	0.00129198
-725.44554455	0.00141270
-725.41254125	0.00147915
-725.37953795	0.00159239
-725.34653465	0.00167662
-725.31353135	0.00165464
-725.28052805	0.00177819
-725.24752475	0.00181049
-725.21452145	0.00186390
-725.18151815	0.00184891
-725.14851485	0.00184272
-725.11551155	0.00176721
-725.08250825	0.00159628
-725.04950495	0.00144906
-725.01650165	0.00114826
-724.98349835	0.00086826
-724.95049505	0.00043205
-724.91749175	0.00005752
-724.88448845	-0.00047034
-724.85148515	-0.00104232
-724.81848185	-0.00158995
-724.78547855	-0.00213233
-724.75247525	-0.00268141
-724.71947195	-0.00311755
-724.68646865	-0.00345999
-724.65346535	-0.00361353
-724.62046205	-0.00379242
-724.58745875	-0.00367260
-724.55445545	-0.00342658
-724.52145215	-0.00310288
-724.48844884	-0.00271081
-724.45544554	-0.00207473
-724.42244224	-0.00146741
-724.38943894	-0.00082815
-724.35643564	-0.00016391
-724.32343234	0.00029560
-724.29042904	0.00083433
-724.25742574	0.00131357
-724.22442244	0.00163482
-724.19141914	0.00185784
-724.15841584	0.00206675
-724.12541254	0.00223660
-724.09240924	0.00219342
-724.05940594	0.00217811
-724.02640264	0.00214606
-723.99339934	0.00207064
-723.96039604	0.00190675
-723.92739274	0.00181695
-723.89438944	0.00159990
-723.86138614	0.00148998
-723.82838284	0.00130888
-723.79537954	0.00124937
-723.76237624	0.00108597
-723.72937294	0.00102934
-723.69636964	0.00092428
-723.66336634	0.00084129
-723.63036304	0.00083519
-723.59735974	0.00076409
-723.56435644	0.00072262
-723.53135314	0.00073864
-723.49834983	0.00063602
-723.46534653	0.00058450
-723.43234323	0.00048348
-723.39933993	0.00038922
-723.36633663	0.00035771
-723.33333333	0.00016215
-723.30033003	0.00008993
-723.26732673	0.00005114
-723.23432343	-0.00003343
-723.20132013	-0.00008353
-723.16831683	-0.00002409
-723.13531353	0.00003357
-723.10231023	0.00008899
-723.06930693	0.00020303
-723.03630363	0.00042149
-723.00330033	0.00060553
