# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -730.00000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-12T16:13:00
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-730.00000000	0.00080954
-729.96699670	0.00067108
-729.93399340	0.00036753
-729.90099010	0.00015689
-729.86798680	-0.00015792
-729.83498350	-0.00039023
-729.80198020	-0.00055917
-729.76897690	-0.00052585
-729.73597360	-0.00048247
-729.70297030	-0.00028395
-729.66996700	-0.00001545
-729.63696370	0.00023181
-729.60396040	0.00045779
-729.57095710	0.00070777
-729.53795380	0.00088452
-729.50495050	0.00099098
-729.47194719	0.00107224
-729.43894389	0.00103624
-729.40594059	0.00098562
-729.37293729	0.00081875
-729.33993399	0.00055255
-729.30693069	0.00034670
-729.27392739	0.00007372
-729.24092409	-0.00026289
-729.20792079	-0.00054686
-729.17491749	-0.00080839
-729.14191419	-0.00112571
-729.10891089	-0.00137942
-729.07590759	-0.00167039
-729.04290429	-0.00195504
-729.00990099	-0.00223960
-728.97689769	-0.00261916
-728.94389439	-0.00306492
-728.91089109	-0.00365706
-728.87788779	-0.00432171
-728.84488449	-0.00521775
-728.81188119	-0.00621386
-728.77887789	-0.00738991
-728.74587459	-0.00851475
-728.71287129	-0.00962711
-728.67986799	-0.01051713
-728.64686469	-0.01124130
-728.61386139	-0.01152380
-728.58085809	-0.01143825
-728.54785479	-0.01082981
-728.51485149	-0.00979736
-728.48184818	-0.00843120
-728.44884488	-0.00686706
-728.41584158	-0.00516305
-728.38283828	-0.00355487
-728.34983498	-0.00213425
-728.31683168	-0.00106853
-728.28382838	-0.00039014
-728.25082508	0.00010129
-728.21782178	0.00016886
-728.18481848	0.00007440
-728.15181518	-0.00017938
-728.11881188	-0.00045918
-728.08580858	-0.00077470
-728.05280528	-0.00094020
-728.01980198	-0.00102784
-727.98679868	-0.00102841
-727.95379538	-0.00082959
-727.92079208	-0.00067382
-727.88778878	-0.00048312
-727.85478548	-0.00043702
-727.82178218	-0.00048785
-727.78877888	-0.00069931
-727.75577558	-0.00120644
-727.72277228	-0.00175181
-727.68976898	-0.00248635
-727.65676568	-0.00332885
-727.62376238	-0.00423917
-727.59075908	-0.00509958
-727.55775578	-0.00594990
-727.52475248	-0.00675852
-727.49174917	-0.00753777
-727.45874587	-0.00836053
-727.42574257	-0.00907392
-727.39273927	-0.00978108
-727.35973597	-0.01061777
-727.32673267	-0.01159221
-727.29372937	-0.01269798
-727.26072607	-0.01406022
-727.22772277	-0.01568994
-727.19471947	-0.01762187
-727.16171617	-0.01970657
-727.12871287	-0.02187833
-727.09570957	-0.02406548
-727.06270627	-0.02597213
-727.02970297	-0.02732867
-726.99669967	-0.02805131
-726.96369637	-0.02788850
-726.93069307	-0.02670744
-726.89768977	-0.02448581
-726.86468647	-0.02139225
-726.83168317	-0.01755031
-726.79867987	-0.01342450
-726.76567657	-0.00923261
-726.73267327	-0.00528338
-726.69966997	-0.00182556
-726.66666667	0.00095123
-726.63366337	0.00293243
-726.60066007	0.00420386
-726.56765677	0.00479919
-726.53465347	0.00490962
-726.50165017	0.00468031
-726.46864686	0.00423214
-726.43564356	0.00368171
-726.40264026	0.00312404
-726.36963696	0.00258396
-726.33663366	0.00208032
-726.30363036	0.00166660
-726.27062706	0.00116504
-726.23762376	0.00069384
-726.20462046	0.00014130
-726.17161716	-0.00042585
-726.13861386	-0.00105201
-726.10561056	-0.00155010
-726.07260726	-0.00186537
-726.03960396	-0.00191096
-726.00660066	-0.00168521
-725.97359736	-0.00106532
-725.94059406	-0.00013255
-725.90759076	0.00104586
-725.87458746	0.00256084
-725.84158416	0.00413840
-725.80858086	0.00582201
-725.77557756	0.00753366
-725.74257426	0.00950988
-725.70957096	0.01177596
-725.67656766	0.01432879
-725.64356436	0.01727103
-725.61056106	0.02079954
-725.57755776	0.02500937
-725.54455446	0.02988558
-725.51155116	0.03564512
-725.47854785	0.04235335
-725.44554455	0.05005586
-725.41254125	0.05882360
-725.37953795	0.06849213
-725.34653465	0.07889677
-725.31353135	0.08986139
-725.28052805	0.10117031
-725.24752475	0.11251870
-725.21452145	0.12394362
-725.18151815	0.13508942
-725.14851485	0.14599077
-725.11551155	0.15679199
-725.08250825	0.16761799
-725.04950495	0.17876678
-725.01650165	0.19076261
-724.98349835	0.20393630
-724.95049505	0.21882321
-724.91749175	0.23601363
-724.88448845	0.25614206
-724.85148515	0.27951206
-724.81848185	0.30687055
-724.78547855	0.33814352
-724.75247525	0.37335238
-724.71947195	0.41191505
-724.68646865	0.45271559
-724.65346535	0.49474538
-724.62046205	0.53640376
-724.58745875	0.57607866
-724.55445545	0.61166005
-724.52145215	0.64096574
-724.48844884	0.66106626
-724.45544554	0.66962664
-724.42244224	0.66456948
-724.38943894	0.64421190
-724.35643564	0.60768148
-724.32343234	0.55485502
-724.29042904	0.48671441
-724.25742574	0.40521412
-724.22442244	0.31350477
-724.19141914	0.21507175
-724.15841584	0.11308619
-724.12541254	0.01024880
-724.09240924	-0.09159084
-724.05940594	-0.19204649
-724.02640264	-0.29262332
-723.99339934	-0.39676087
-723.96039604	-0.50947797
-723.92739274	-0.63752939
-723.89438944	-0.78799111
-723.86138614	-0.96716126
-723.82838284	-1.17905277
-723.79537954	-1.42363064
-723.76237624	-1.69644035
-723.72937294	-1.98685079
-723.69636964	-2.27767342
-723.66336634	-2.54594370
-723.63036304	-2.76501311
-723.59735974	-2.90728190
-723.56435644	-2.94983986
-723.53135314	-2.87828965
-723.49834983	-2.68823034
-723.46534653	-2.38402534
-723.43234323	-1.97941040
-723.39933993	-1.49874951
-723.36633663	-0.97443840
-723.33333333	-0.44167819
-723.30033003	0.06697801
-723.26732673	0.52782350
-723.23432343	0.92562598
-723.20132013	1.25194175
-723.16831683	1.50275012
-723.13531353	1.67891345
-723.10231023	1.78545955
-723.06930693	1.83134940
-723.03630363	1.82781305
-723.00330033	1.78663453
-722.97029703	1.71780511
-722.93729373	1.62923005
-722.90429043	1.52583383
-722.87128713	1.40997170
-722.83828383	1.28279655
-722.80528053	1.14571403
-722.77227723	1.00242838
-722.73927393	0.85874880
-722.70627063	0.72233917
-722.67326733	0.60074790
-722.64026403	0.49956531
-722.60726073	0.42080320
-722.57425743	0.36277662
-722.54125413	0.32095535
-722.50825083	0.28966601
-722.47524752	0.26224887
-722.44224422	0.23284541
-722.40924092	0.19728643
-722.37623762	0.15278168
-722.34323432	0.09868181
-722.31023102	0.03551362
-722.27722772	-0.03523530
-722.24422442	-0.11061683
-722.21122112	-0.18545741
-722.17821782	-0.25312836
-722.14521452	-0.30538693
-722.11221122	-0.33389623
-722.07920792	-0.33134982
-722.04620462	-0.29351507
-722.01320132	-0.22024514
-721.98019802	-0.11704488
-721.94719472	0.00620626
-721.91419142	0.13624302
-721.88118812	0.25889564
-721.84818482	0.36174124
-721.81518152	0.43484530
-721.78217822	0.47181791
-721.74917492	0.46963583
-721.71617162	0.42802062
-721.68316832	0.34903844
-721.65016502	0.23801847
-721.61716172	0.10378321
-721.58415842	-0.04103869
-721.55115512	-0.18091719
-721.51815182	-0.29977324
-721.48514851	-0.38483029
-721.45214521	-0.42829623
-721.41914191	-0.42901058
-721.38613861	-0.39183221
-721.35313531	-0.32627627
-721.32013201	-0.24466955
-721.28712871	-0.15992373
-721.25412541	-0.08237651
-721.22112211	-0.01867746
-721.18811881	0.02875410
-721.15511551	0.06091766
-721.12211221	0.08006688
-721.08910891	0.08859448
-721.05610561	0.08828312
-721.02310231	0.08035559
-720.99009901	0.06633205
-720.95709571	0.04812569
-720.92409241	0.02858162
-720.89108911	0.01015399
-720.85808581	-0.00546832
-720.82508251	-0.01823072
-720.79207921	-0.02919257
-720.75907591	-0.03931387
-720.72607261	-0.04905638
-720.69306931	-0.05750001
-720.66006601	-0.06375061
-720.62706271	-0.06726581
-720.59405941	-0.06895010
-720.56105611	-0.07119963
-720.52805281	-0.07625634
-720.49504950	-0.08569903
-720.46204620	-0.09971238
-720.42904290	-0.11649544
-720.39603960	-0.13312381
-720.36303630	-0.14518925
-720.33003300	-0.14837905
-720.29702970	-0.13874135
-720.26402640	-0.11466035
-720.23102310	-0.07626149
-720.19801980	-0.02603263
-720.16501650	0.03273654
-720.13201320	0.09627217
-720.09900990	0.16073177
-720.06600660	0.22217256
-720.03300330	0.27662064
-720.00000000	0.31953774
-719.96699670	0.34610128
-719.93399340	0.35138911
-719.90099010	0.33082829
-719.86798680	0.28218880
-719.83498350	0.20645540
-719.80198020	0.10965489
-719.76897690	0.00141569
-719.73597360	-0.10616669
-719.70297030	-0.20171354
-719.66996700	-0.27624118
-719.63696370	-0.32433280
-719.60396040	-0.34367486
-719.57095710	-0.33416803
-719.53795380	-0.29790054
-719.50495050	-0.23905257
-719.47194719	-0.16494967
-719.43894389	-0.08505657
-719.40594059	-0.01074351
-719.37293729	0.04785126
-719.33993399	0.08364663
-719.30693069	0.09385844
-719.27392739	0.08000051
-719.24092409	0.04689594
-719.20792079	0.00082132
-719.17491749	-0.05176677
-719.14191419	-0.10441312
-719.10891089	-0.15121777
-719.07590759	-0.18762554
-719.04290429	-0.21115480
-719.00990099	-0.22152763
-718.97689769	-0.22069075
-718.94389439	-0.21135023
-718.91089109	-0.19559003
-718.87788779	-0.17462044
-718.84488449	-0.14841584
-718.81188119	-0.11697315
-718.77887789	-0.08076384
-718.74587459	-0.04097389
-718.71287129	0.00060394
-718.67986799	0.04235974
-718.64686469	0.08225943
-718.61386139	0.11825079
-718.58085809	0.14764269
-718.54785479	0.16728591
-718.51485149	0.17439956
-718.48184818	0.16799230
