# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -730.00000000 ps, Average over 3000 waveforms. Timestamp: 2025-12-02T15:11:28
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-730.00000000	-0.00026230
-729.96699670	-0.00019270
-729.93399340	-0.00023483
-729.90099010	-0.00016623
-729.86798680	-0.00025198
-729.83498350	-0.00024171
-729.80198020	-0.00031923
-729.76897690	-0.00035863
-729.73597360	-0.00033311
-729.70297030	-0.00032957
-729.66996700	-0.00024494
-729.63696370	-0.00005624
-729.60396040	0.00003266
-729.57095710	0.00032861
-729.53795380	0.00048825
-729.50495050	0.00072396
-729.47194719	0.00091878
-729.43894389	0.00100195
-729.40594059	0.00103295
-729.37293729	0.00107877
-729.33993399	0.00091642
-729.30693069	0.00081010
-729.27392739	0.00055738
-729.24092409	0.00030776
-729.20792079	-0.00000215
-729.17491749	-0.00038713
-729.14191419	-0.00072158
-729.10891089	-0.00106344
-729.07590759	-0.00141229
-729.04290429	-0.00161954
-729.00990099	-0.00189774
-728.97689769	-0.00203474
-728.94389439	-0.00219419
-728.91089109	-0.00246802
-728.87788779	-0.00260883
-728.84488449	-0.00296609
-728.81188119	-0.00349752
-728.77887789	-0.00419938
-728.74587459	-0.00508398
-728.71287129	-0.00624237
-728.67986799	-0.00754051
-728.64686469	-0.00895181
-728.61386139	-0.01028945
-728.58085809	-0.01140672
-728.54785479	-0.01226979
-728.51485149	-0.01254211
-728.48184818	-0.01225906
-728.44884488	-0.01129618
-728.41584158	-0.00973295
-728.38283828	-0.00771023
-728.34983498	-0.00537781
-728.31683168	-0.00306323
-728.28382838	-0.00102058
-728.25082508	0.00054803
-728.21782178	0.00150227
-728.18481848	0.00189309
-728.15181518	0.00160011
-728.11881188	0.00108489
-728.08580858	0.00030396
-728.05280528	-0.00039082
-728.01980198	-0.00097424
-727.98679868	-0.00124649
-727.95379538	-0.00134095
-727.92079208	-0.00113482
-727.88778878	-0.00078494
-727.85478548	-0.00041206
-727.82178218	0.00011258
-727.78877888	0.00038512
-727.75577558	0.00060506
-727.72277228	0.00051680
-727.68976898	0.00009600
-727.65676568	-0.00072029
-727.62376238	-0.00168243
-727.59075908	-0.00290806
-727.55775578	-0.00418321
-727.52475248	-0.00551637
-727.49174917	-0.00687356
-727.45874587	-0.00804755
-727.42574257	-0.00918386
-727.39273927	-0.01013429
-727.35973597	-0.01093247
-727.32673267	-0.01153351
-727.29372937	-0.01205119
-727.26072607	-0.01254254
-727.22772277	-0.01314506
-727.19471947	-0.01398880
-727.16171617	-0.01509519
-727.12871287	-0.01664491
-727.09570957	-0.01861946
-727.06270627	-0.02102049
-727.02970297	-0.02384441
-726.99669967	-0.02675225
-726.96369637	-0.02951708
-726.93069307	-0.03195198
-726.89768977	-0.03339194
-726.86468647	-0.03377440
-726.83168317	-0.03263914
-726.79867987	-0.02990925
-726.76567657	-0.02565986
-726.73267327	-0.02019471
-726.69966997	-0.01389738
-726.66666667	-0.00759686
-726.63366337	-0.00158837
-726.60066007	0.00321826
-726.56765677	0.00670462
-726.53465347	0.00872211
-726.50165017	0.00929744
-726.46864686	0.00892258
-726.43564356	0.00779437
-726.40264026	0.00638505
-726.36963696	0.00497010
-726.33663366	0.00345264
-726.30363036	0.00214008
-726.27062706	0.00088623
-726.23762376	-0.00009347
-726.20462046	-0.00097619
-726.17161716	-0.00148174
-726.13861386	-0.00175989
-726.10561056	-0.00181287
-726.07260726	-0.00184040
-726.03960396	-0.00178531
-726.00660066	-0.00178731
-725.97359736	-0.00171375
-725.94059406	-0.00158587
-725.90759076	-0.00117893
-725.87458746	-0.00058949
-725.84158416	0.00022906
-725.80858086	0.00127555
-725.77557756	0.00238702
-725.74257426	0.00362783
-725.70957096	0.00506418
-725.67656766	0.00651107
-725.64356436	0.00818841
-725.61056106	0.01037341
-725.57755776	0.01275948
-725.54455446	0.01576816
-725.51155116	0.01958347
-725.47854785	0.02395176
-725.44554455	0.02918531
-725.41254125	0.03522206
-725.37953795	0.04202431
-725.34653465	0.04970458
-725.31353135	0.05811603
-725.28052805	0.06729675
-725.24752475	0.07714377
-725.21452145	0.08759443
-725.18151815	0.09827352
-725.14851485	0.10902070
-725.11551155	0.11970239
-725.08250825	0.13036598
-725.04950495	0.14076739
-725.01650165	0.15109877
-724.98349835	0.16171648
-724.95049505	0.17271283
-724.91749175	0.18464475
-724.88448845	0.19788865
-724.85148515	0.21301171
-724.81848185	0.23061514
-724.78547855	0.25121039
-724.75247525	0.27557727
-724.71947195	0.30393385
-724.68646865	0.33660429
-724.65346535	0.37365814
-724.62046205	0.41454753
-724.58745875	0.45857182
-724.55445545	0.50464335
-724.52145215	0.55109917
-724.48844884	0.59606813
-724.45544554	0.63726964
-724.42244224	0.67168435
-724.38943894	0.69668944
-724.35643564	0.70924218
-724.32343234	0.70666768
-724.29042904	0.68666042
-724.25742574	0.64785019
-724.22442244	0.59001336
-724.19141914	0.51405273
-724.15841584	0.42281155
-724.12541254	0.31964527
-724.09240924	0.20962181
-724.05940594	0.09764369
-724.02640264	-0.01150691
-723.99339934	-0.11404217
-723.96039604	-0.20858499
-723.92739274	-0.29627198
-723.89438944	-0.38145625
-723.86138614	-0.47137022
-723.82838284	-0.57565911
-723.79537954	-0.70497465
-723.76237624	-0.86952200
-723.72937294	-1.07751367
-723.69636964	-1.33351110
-723.66336634	-1.63565793
-723.63036304	-1.97388934
-723.59735974	-2.32853696
-723.56435644	-2.67041448
-723.53135314	-2.96346228
-723.49834983	-3.16974917
-723.46534653	-3.25430628
-723.43234323	-3.18850834
-723.39933993	-2.95675996
-723.36633663	-2.56134738
-723.33333333	-2.02518013
-723.30033003	-1.39055202
-723.26732673	-0.71192751
-723.23432343	-0.04685267
-723.20132013	0.55376431
-723.16831683	1.05371721
-723.13531353	1.43697872
-723.10231023	1.70547413
-723.06930693	1.87334079
-723.03630363	1.95863815
-723.00330033	1.97698896
-722.97029703	1.94022426
-722.93729373	1.85799406
-722.90429043	1.74113035
-722.87128713	1.60272949
-722.83828383	1.45777831
-722.80528053	1.31883326
-722.77227723	1.19227618
-722.73927393	1.07738220
-722.70627063	0.96822192
-722.67326733	0.85893881
-722.64026403	0.74811749
-722.60726073	0.64000593
-722.57425743	0.54176245
-722.54125413	0.46001415
-722.50825083	0.39681095
-722.47524752	0.34913895
-722.44224422	0.31137385
-722.40924092	0.27768743
-722.37623762	0.24389023
-722.34323432	0.20764363
-722.31023102	0.16754440
-722.27722772	0.12269484
-722.24422442	0.07318768
-722.21122112	0.02077209
-722.17821782	-0.03156055
-722.14521452	-0.08011506
-722.11221122	-0.12202756
-722.07920792	-0.15543537
-722.04620462	-0.17928534
-722.01320132	-0.19169144
-721.98019802	-0.19064830
-721.94719472	-0.17420421
-721.91419142	-0.14197613
-721.88118812	-0.09636588
-721.84818482	-0.04235592
-721.81518152	0.01365577
-721.78217822	0.06478607
-721.74917492	0.10528047
-721.71617162	0.13078694
-721.68316832	0.13949927
-721.65016502	0.13210453
-721.61716172	0.11111429
-721.58415842	0.08022296
-721.55115512	0.04232033
-721.51815182	0.00014850
-721.48514851	-0.04379974
-721.45214521	-0.08602046
-721.41914191	-0.12135345
-721.38613861	-0.14488900
-721.35313531	-0.15298491
-721.32013201	-0.14492150
-721.28712871	-0.12291904
-721.25412541	-0.09102474
-721.22112211	-0.05438066
-721.18811881	-0.01816300
-721.15511551	0.01241876
-721.12211221	0.03351535
-721.08910891	0.04365521
-721.05610561	0.04369939
-721.02310231	0.03698670
-720.99009901	0.02727673
-720.95709571	0.01737794
-720.92409241	0.00821112
-720.89108911	-0.00082110
-720.85808581	-0.01043838
-720.82508251	-0.02094473
-720.79207921	-0.03195505
-720.75907591	-0.04196561
-720.72607261	-0.04956179
-720.69306931	-0.05357554
-720.66006601	-0.05404412
-720.62706271	-0.05192978
-720.59405941	-0.04838566
-720.56105611	-0.04421859
-720.52805281	-0.03919283
-720.49504950	-0.03329474
-720.46204620	-0.02768922
-720.42904290	-0.02536171
-720.39603960	-0.02914128
-720.36303630	-0.03981620
-720.33003300	-0.05516428
-720.29702970	-0.07038464
-720.26402640	-0.08070166
-720.23102310	-0.08280378
-720.19801980	-0.07577204
-720.16501650	-0.06029900
-720.13201320	-0.03807752
-720.09900990	-0.01144878
-720.06600660	0.01726333
-720.03300330	0.04583396
-720.00000000	0.07237149
-719.96699670	0.09517111
-719.93399340	0.11270052
-719.90099010	0.12367812
-719.86798680	0.12708408
-719.83498350	0.12187034
-719.80198020	0.10695470
-719.76897690	0.08133010
-719.73597360	0.04490117
-719.70297030	-0.00066862
-719.66996700	-0.05136080
-719.63696370	-0.10086187
-719.60396040	-0.14253064
-719.57095710	-0.17120828
-719.53795380	-0.18398476
-719.50495050	-0.18160908
-719.47194719	-0.16634391
-719.43894389	-0.14120080
-719.40594059	-0.10937322
-719.37293729	-0.07379381
-719.33993399	-0.03799511
-719.30693069	-0.00655270
-719.27392739	0.01562161
-719.24092409	0.02505503
-719.20792079	0.02117047
-719.17491749	0.00632143
-719.14191419	-0.01501278
-719.10891089	-0.03824543
-719.07590759	-0.06000518
-719.04290429	-0.07829007
-719.00990099	-0.09202773
-718.97689769	-0.10028886
-718.94389439	-0.10199595
-718.91089109	-0.09664950
-718.87788779	-0.08510294
-718.84488449	-0.06910267
-718.81188119	-0.05167675
-718.77887789	-0.03533211
-718.74587459	-0.02123927
-718.71287129	-0.00937300
-718.67986799	0.00126035
-718.64686469	0.01131634
-718.61386139	0.02084779
-718.58085809	0.02924010
-718.54785479	0.03571615
-718.51485149	0.04024387
-718.48184818	0.04290637
-718.44884488	0.04364146
-718.41584158	0.04167773
-718.38283828	0.03623553
-718.34983498	0.02777318
-718.31683168	0.01830142
-718.28382838	0.01132192
-718.25082508	0.01099781
-718.21782178	0.01970086
-718.18481848	0.03640365
-718.15181518	0.05712162
-718.11881188	0.07574918
-718.08580858	0.08593762
-718.05280528	0.08362612
-718.01980198	0.06832282
-717.98679868	0.04323402
-717.95379538	0.01381498
-717.92079208	-0.01431428
-717.88778878	-0.03730349
-717.85478548	-0.05325307
-717.82178218	-0.06194402
-717.78877888	-0.06445975
-717.75577558	-0.06204235
-717.72277228	-0.05622693
-717.68976898	-0.04854907
-717.65676568	-0.04045757
-717.62376238	-0.03324426
-717.59075908	-0.02767131
-717.55775578	-0.02431791
-717.52475248	-0.02280593
-717.49174917	-0.02230146
-717.45874587	-0.02189573
