# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-04T14:30:20
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00002766
-739.96699670	-0.00006176
-739.93399340	-0.00005684
-739.90099010	-0.00010211
-739.86798680	0.00000878
-739.83498350	-0.00019984
-739.80198020	-0.00010872
-739.76897690	-0.00009201
-739.73597360	-0.00011541
-739.70297030	-0.00014779
-739.66996700	-0.00011446
-739.63696370	-0.00008797
-739.60396040	-0.00003435
-739.57095710	-0.00010349
-739.53795380	-0.00010747
-739.50495050	-0.00013299
-739.47194719	0.00001450
-739.43894389	-0.00007713
-739.40594059	-0.00000178
-739.37293729	-0.00003370
-739.33993399	0.00005927
-739.30693069	0.00008188
-739.27392739	0.00013783
-739.24092409	0.00010724
-739.20792079	0.00013719
-739.17491749	0.00011127
-739.14191419	0.00023991
-739.10891089	0.00028191
-739.07590759	0.00019791
-739.04290429	0.00022782
-739.00990099	0.00028702
-738.97689769	0.00026186
-738.94389439	0.00030893
-738.91089109	0.00029097
-738.87788779	0.00036129
-738.84488449	0.00039343
-738.81188119	0.00043050
-738.77887789	0.00051157
-738.74587459	0.00042543
-738.71287129	0.00039542
-738.67986799	0.00050436
-738.64686469	0.00052694
-738.61386139	0.00057016
-738.58085809	0.00055512
-738.54785479	0.00054925
-738.51485149	0.00055978
-738.48184818	0.00059799
-738.44884488	0.00050315
-738.41584158	0.00053685
-738.38283828	0.00055228
-738.34983498	0.00056998
-738.31683168	0.00060857
-738.28382838	0.00059528
-738.25082508	0.00055393
-738.21782178	0.00047088
-738.18481848	0.00059890
-738.15181518	0.00051927
-738.11881188	0.00055805
-738.08580858	0.00057770
-738.05280528	0.00054696
-738.01980198	0.00056118
-737.98679868	0.00042853
-737.95379538	0.00049867
-737.92079208	0.00043285
-737.88778878	0.00041963
-737.85478548	0.00044855
-737.82178218	0.00042867
-737.78877888	0.00036954
-737.75577558	0.00032914
-737.72277228	0.00030241
-737.68976898	0.00024312
-737.65676568	0.00023610
-737.62376238	0.00025241
-737.59075908	0.00020640
-737.55775578	0.00013220
-737.52475248	0.00017398
-737.49174917	0.00007091
-737.45874587	-0.00000603
-737.42574257	0.00001356
-737.39273927	0.00000085
-737.35973597	0.00003426
-737.32673267	-0.00001163
-737.29372937	-0.00002031
-737.26072607	-0.00011022
-737.22772277	-0.00002710
-737.19471947	0.00005446
-737.16171617	0.00010489
-737.12871287	-0.00002146
-737.09570957	-0.00004607
-737.06270627	-0.00005715
-737.02970297	-0.00010327
-736.99669967	-0.00006322
-736.96369637	-0.00001921
-736.93069307	-0.00006051
-736.89768977	-0.00008446
