# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-04T14:27:35
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00017619
-739.96699670	-0.00010605
-739.93399340	-0.00013104
-739.90099010	-0.00013783
-739.86798680	-0.00016067
-739.83498350	-0.00015147
-739.80198020	-0.00011969
-739.76897690	-0.00002972
-739.73597360	-0.00012703
-739.70297030	-0.00011270
-739.66996700	0.00004781
-739.63696370	0.00002071
-739.60396040	-0.00003044
-739.57095710	-0.00000453
-739.53795380	0.00001683
-739.50495050	0.00000851
-739.47194719	0.00005336
-739.43894389	0.00006197
-739.40594059	0.00005327
-739.37293729	0.00009170
-739.33993399	0.00009053
-739.30693069	0.00010577
-739.27392739	0.00002332
-739.24092409	0.00015483
-739.20792079	0.00013868
-739.17491749	0.00003050
-739.14191419	0.00015525
-739.10891089	0.00005265
-739.07590759	0.00012656
-739.04290429	0.00005512
-739.00990099	0.00017242
-738.97689769	0.00010230
-738.94389439	0.00011604
-738.91089109	0.00006004
-738.87788779	0.00009008
-738.84488449	0.00007148
-738.81188119	0.00004948
-738.77887789	0.00001805
-738.74587459	0.00007647
-738.71287129	0.00006431
-738.67986799	-0.00005819
-738.64686469	0.00003937
-738.61386139	-0.00004569
-738.58085809	-0.00005183
-738.54785479	-0.00008165
-738.51485149	0.00001748
-738.48184818	0.00002205
-738.44884488	-0.00003992
-738.41584158	-0.00002281
-738.38283828	0.00004650
-738.34983498	-0.00001147
-738.31683168	-0.00002980
-738.28382838	-0.00008588
-738.25082508	-0.00004601
-738.21782178	-0.00012863
-738.18481848	-0.00010731
-738.15181518	-0.00009624
-738.11881188	-0.00002647
-738.08580858	0.00000323
-738.05280528	-0.00009611
-738.01980198	-0.00013705
-737.98679868	-0.00009180
-737.95379538	-0.00009385
-737.92079208	-0.00006501
-737.88778878	-0.00006843
-737.85478548	-0.00011389
-737.82178218	-0.00015013
-737.78877888	-0.00016280
-737.75577558	-0.00011587
-737.72277228	-0.00011198
-737.68976898	-0.00003534
-737.65676568	-0.00014152
-737.62376238	-0.00013286
