# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T12:17:15
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00004510
-739.96699670	-0.00002980
-739.93399340	-0.00002453
-739.90099010	-0.00003920
-739.86798680	-0.00006122
-739.83498350	-0.00011853
-739.80198020	-0.00015057
-739.76897690	-0.00007506
-739.73597360	-0.00009424
-739.70297030	-0.00013568
-739.66996700	-0.00008583
-739.63696370	-0.00008136
-739.60396040	-0.00011714
-739.57095710	-0.00000431
-739.53795380	-0.00000949
-739.50495050	-0.00011534
-739.47194719	0.00002230
-739.43894389	-0.00007428
-739.40594059	-0.00003687
-739.37293729	0.00003648
-739.33993399	0.00010101
-739.30693069	-0.00000401
-739.27392739	-0.00009253
-739.24092409	0.00022057
-739.20792079	0.00007275
-739.17491749	0.00020877
-739.14191419	0.00014601
-739.10891089	0.00016617
-739.07590759	0.00022944
-739.04290429	0.00019159
-739.00990099	0.00031348
-738.97689769	0.00019702
-738.94389439	0.00023465
-738.91089109	0.00028181
-738.87788779	0.00034675
-738.84488449	0.00030354
-738.81188119	0.00036085
-738.77887789	0.00044686
-738.74587459	0.00042927
-738.71287129	0.00052768
-738.67986799	0.00039475
-738.64686469	0.00045749
-738.61386139	0.00053231
-738.58085809	0.00049276
-738.54785479	0.00060907
-738.51485149	0.00050759
-738.48184818	0.00047728
-738.44884488	0.00054323
-738.41584158	0.00060088
-738.38283828	0.00056358
-738.34983498	0.00051086
-738.31683168	0.00055247
-738.28382838	0.00055367
-738.25082508	0.00067477
-738.21782178	0.00058183
-738.18481848	0.00055329
-738.15181518	0.00048692
-738.11881188	0.00053432
-738.08580858	0.00047364
-738.05280528	0.00044506
-738.01980198	0.00040833
-737.98679868	0.00048728
-737.95379538	0.00039157
-737.92079208	0.00028250
-737.88778878	0.00028500
-737.85478548	0.00018943
-737.82178218	0.00025405
-737.78877888	0.00018989
-737.75577558	0.00017242
-737.72277228	0.00007836
-737.68976898	0.00010204
-737.65676568	0.00002396
-737.62376238	0.00008419
-737.59075908	-0.00001362
-737.55775578	-0.00005058
-737.52475248	-0.00000704
-737.49174917	-0.00002321
-737.45874587	-0.00008043
-737.42574257	-0.00010961
-737.39273927	-0.00009576
-737.35973597	-0.00016359
-737.32673267	-0.00012115
-737.29372937	-0.00011316
-737.26072607	-0.00017853
-737.22772277	-0.00008152
-737.19471947	-0.00008182
