# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T11:57:35
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00014013
-739.96699670	-0.00017837
-739.93399340	-0.00013566
-739.90099010	-0.00011275
-739.86798680	-0.00020573
-739.83498350	-0.00011389
-739.80198020	-0.00008614
-739.76897690	-0.00016494
-739.73597360	-0.00015482
-739.70297030	-0.00000578
-739.66996700	-0.00014148
-739.63696370	0.00000306
-739.60396040	0.00000687
-739.57095710	0.00001083
-739.53795380	0.00005792
-739.50495050	0.00002076
-739.47194719	0.00006463
-739.43894389	0.00007449
-739.40594059	-0.00000937
-739.37293729	0.00001922
-739.33993399	0.00009033
-739.30693069	0.00012455
-739.27392739	0.00012083
-739.24092409	0.00006407
-739.20792079	0.00010568
-739.17491749	0.00019079
-739.14191419	0.00015838
-739.10891089	0.00011242
-739.07590759	0.00009872
-739.04290429	0.00012550
-739.00990099	0.00015574
-738.97689769	0.00012934
-738.94389439	0.00007336
-738.91089109	0.00008337
-738.87788779	0.00005697
-738.84488449	0.00009698
-738.81188119	0.00004911
-738.77887789	0.00009310
-738.74587459	0.00021452
-738.71287129	0.00005536
-738.67986799	0.00003935
-738.64686469	0.00006289
-738.61386139	0.00008001
-738.58085809	0.00012361
-738.54785479	0.00013152
-738.51485149	0.00007153
-738.48184818	0.00005326
-738.44884488	0.00007688
-738.41584158	0.00000651
-738.38283828	0.00006690
-738.34983498	0.00006918
-738.31683168	0.00005525
-738.28382838	0.00004793
-738.25082508	0.00001707
-738.21782178	0.00005583
-738.18481848	0.00008876
-738.15181518	0.00015834
-738.11881188	0.00012271
-738.08580858	0.00007098
-738.05280528	0.00011662
-738.01980198	0.00009202
-737.98679868	0.00007970
-737.95379538	0.00006007
-737.92079208	0.00011159
-737.88778878	0.00010434
-737.85478548	0.00007151
-737.82178218	0.00010190
-737.78877888	0.00012686
-737.75577558	-0.00004201
-737.72277228	0.00016185
-737.68976898	0.00014604
-737.65676568	0.00018030
-737.62376238	0.00026388
-737.59075908	0.00024126
-737.55775578	0.00015228
-737.52475248	0.00021572
-737.49174917	0.00025647
-737.45874587	0.00033551
-737.42574257	0.00034728
-737.39273927	0.00029655
-737.35973597	0.00031525
-737.32673267	0.00033452
-737.29372937	0.00040244
-737.26072607	0.00043033
-737.22772277	0.00048657
-737.19471947	0.00053105
-737.16171617	0.00056937
-737.12871287	0.00062703
-737.09570957	0.00063560
-737.06270627	0.00066142
-737.02970297	0.00073933
-736.99669967	0.00071961
-736.96369637	0.00071999
-736.93069307	0.00083509
-736.89768977	0.00078369
-736.86468647	0.00087390
-736.83168317	0.00091583
-736.79867987	0.00097582
-736.76567657	0.00092460
-736.73267327	0.00088433
-736.69966997	0.00072644
-736.66666667	0.00080560
-736.63366337	0.00065824
-736.60066007	0.00057218
-736.56765677	0.00042195
-736.53465347	0.00033855
-736.50165017	0.00011864
-736.46864686	-0.00007510
-736.43564356	-0.00026283
-736.40264026	-0.00051453
-736.36963696	-0.00073841
-736.33663366	-0.00102236
-736.30363036	-0.00133885
-736.27062706	-0.00147556
-736.23762376	-0.00182732
-736.20462046	-0.00200878
-736.17161716	-0.00214419
-736.13861386	-0.00217794
-736.10561056	-0.00231031
-736.07260726	-0.00255573
-736.03960396	-0.00257128
-736.00660066	-0.00258658
-735.97359736	-0.00268954
-735.94059406	-0.00280243
-735.90759076	-0.00282031
