# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-12T12:39:37
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00000011
-739.96699670	-0.00003217
-739.93399340	0.00003397
-739.90099010	0.00000554
-739.86798680	0.00002430
-739.83498350	0.00005520
-739.80198020	0.00002969
-739.76897690	-0.00000299
-739.73597360	0.00003204
-739.70297030	0.00003808
-739.66996700	-0.00005077
-739.63696370	0.00006486
-739.60396040	-0.00001643
-739.57095710	0.00005556
-739.53795380	0.00005116
-739.50495050	-0.00007481
-739.47194719	-0.00000473
-739.43894389	0.00004117
-739.40594059	0.00002046
-739.37293729	0.00003162
-739.33993399	0.00001688
-739.30693069	0.00000390
-739.27392739	-0.00007540
-739.24092409	-0.00002638
-739.20792079	-0.00006986
-739.17491749	-0.00002333
-739.14191419	-0.00005637
-739.10891089	-0.00000848
-739.07590759	-0.00003639
-739.04290429	-0.00002622
-739.00990099	-0.00001962
-738.97689769	0.00001013
-738.94389439	-0.00005760
-738.91089109	-0.00003757
-738.87788779	-0.00000912
-738.84488449	0.00000037
-738.81188119	0.00000662
-738.77887789	0.00004170
-738.74587459	0.00004150
-738.71287129	0.00003837
-738.67986799	0.00006479
-738.64686469	0.00005062
-738.61386139	0.00005194
-738.58085809	0.00014877
-738.54785479	0.00014943
-738.51485149	0.00002575
-738.48184818	0.00005180
-738.44884488	0.00007384
-738.41584158	0.00008617
-738.38283828	0.00007181
-738.34983498	0.00008456
-738.31683168	0.00016803
-738.28382838	0.00011895
-738.25082508	0.00004769
-738.21782178	0.00013421
-738.18481848	0.00012603
-738.15181518	0.00005488
-738.11881188	0.00013063
-738.08580858	0.00011816
-738.05280528	0.00009146
-738.01980198	0.00009533
-737.98679868	0.00009044
-737.95379538	0.00009061
-737.92079208	0.00010671
-737.88778878	0.00010779
-737.85478548	0.00006125
-737.82178218	0.00006986
-737.78877888	0.00007268
-737.75577558	0.00009979
-737.72277228	0.00013177
-737.68976898	0.00008595
-737.65676568	0.00008980
-737.62376238	0.00008967
-737.59075908	0.00006829
-737.55775578	0.00010622
-737.52475248	0.00013590
-737.49174917	0.00004718
-737.45874587	0.00002105
-737.42574257	0.00006983
-737.39273927	0.00011121
-737.35973597	0.00005173
-737.32673267	0.00002712
-737.29372937	0.00004802
-737.26072607	-0.00004694
-737.22772277	0.00003436
-737.19471947	-0.00005174
-737.16171617	-0.00002497
-737.12871287	-0.00004492
-737.09570957	-0.00015316
-737.06270627	-0.00020780
-737.02970297	-0.00005336
-736.99669967	-0.00013933
-736.96369637	-0.00008973
-736.93069307	-0.00001443
-736.89768977	-0.00014523
-736.86468647	-0.00017828
-736.83168317	-0.00027112
-736.79867987	-0.00024740
-736.76567657	-0.00027002
-736.73267327	-0.00028286
-736.69966997	-0.00030016
-736.66666667	-0.00020609
-736.63366337	-0.00022985
-736.60066007	-0.00013406
-736.56765677	-0.00011333
-736.53465347	-0.00016489
-736.50165017	-0.00014208
-736.46864686	-0.00012635
-736.43564356	-0.00017057
-736.40264026	-0.00017212
-736.36963696	-0.00011599
-736.33663366	-0.00006235
-736.30363036	-0.00007731
-736.27062706	-0.00000356
-736.23762376	0.00000385
-736.20462046	-0.00009459
-736.17161716	0.00002502
-736.13861386	0.00008384
-736.10561056	0.00012264
-736.07260726	0.00010493
-736.03960396	0.00022129
-736.00660066	0.00024446
-735.97359736	0.00018982
-735.94059406	0.00026415
-735.90759076	0.00034807
-735.87458746	0.00035814
-735.84158416	0.00041588
-735.80858086	0.00049886
-735.77557756	0.00042655
-735.74257426	0.00040784
-735.70957096	0.00047825
-735.67656766	0.00052916
-735.64356436	0.00058987
-735.61056106	0.00057268
-735.57755776	0.00058960
-735.54455446	0.00059341
-735.51155116	0.00063709
-735.47854785	0.00060475
-735.44554455	0.00072413
-735.41254125	0.00067471
-735.37953795	0.00068481
-735.34653465	0.00065566
-735.31353135	0.00069898
-735.28052805	0.00069629
-735.24752475	0.00066519
-735.21452145	0.00079765
-735.18151815	0.00073018
-735.14851485	0.00072136
-735.11551155	0.00066207
-735.08250825	0.00068615
-735.04950495	0.00071613
-735.01650165	0.00074816
-734.98349835	0.00070971
-734.95049505	0.00068244
-734.91749175	0.00061289
-734.88448845	0.00072691
-734.85148515	0.00074340
-734.81848185	0.00064285
-734.78547855	0.00063536
-734.75247525	0.00072972
-734.71947195	0.00057501
-734.68646865	0.00058688
-734.65346535	0.00062188
-734.62046205	0.00058769
-734.58745875	0.00052610
-734.55445545	0.00054412
-734.52145215	0.00047529
-734.48844884	0.00047887
-734.45544554	0.00051435
-734.42244224	0.00049973
-734.38943894	0.00047293
-734.35643564	0.00033915
-734.32343234	0.00040297
-734.29042904	0.00043272
-734.25742574	0.00038498
-734.22442244	0.00036665
-734.19141914	0.00034211
-734.15841584	0.00031139
-734.12541254	0.00032811
-734.09240924	0.00034990
-734.05940594	0.00034487
-734.02640264	0.00025600
-733.99339934	0.00038295
-733.96039604	0.00034225
-733.92739274	0.00036912
-733.89438944	0.00038419
-733.86138614	0.00036951
-733.82838284	0.00037029
-733.79537954	0.00036259
-733.76237624	0.00036052
-733.72937294	0.00044021
-733.69636964	0.00037285
-733.66336634	0.00053764
-733.63036304	0.00043727
-733.59735974	0.00041191
-733.56435644	0.00054267
-733.53135314	0.00057617
-733.49834983	0.00058134
-733.46534653	0.00049886
-733.43234323	0.00057878
-733.39933993	0.00061098
-733.36633663	0.00063768
-733.33333333	0.00069835
-733.30033003	0.00072650
-733.26732673	0.00062014
-733.23432343	0.00081250
-733.20132013	0.00072134
-733.16831683	0.00070808
-733.13531353	0.00088613
-733.10231023	0.00072300
-733.06930693	0.00069307
-733.03630363	0.00089314
-733.00330033	0.00073112
-732.97029703	0.00080135
-732.93729373	0.00076001
-732.90429043	0.00077348
-732.87128713	0.00078645
-732.83828383	0.00076462
-732.80528053	0.00080940
-732.77227723	0.00082450
-732.73927393	0.00076452
-732.70627063	0.00068621
-732.67326733	0.00083664
-732.64026403	0.00089499
-732.60726073	0.00074047
-732.57425743	0.00075947
-732.54125413	0.00083190
-732.50825083	0.00076740
-732.47524752	0.00074624
-732.44224422	0.00080199
-732.40924092	0.00068775
-732.37623762	0.00086517
-732.34323432	0.00078775
-732.31023102	0.00065908
-732.27722772	0.00078323
-732.24422442	0.00076748
-732.21122112	0.00077970
-732.17821782	0.00065744
-732.14521452	0.00068921
-732.11221122	0.00084149
-732.07920792	0.00070310
-732.04620462	0.00067884
-732.01320132	0.00075042
-731.98019802	0.00074743
-731.94719472	0.00070924
-731.91419142	0.00070754
-731.88118812	0.00074209
-731.84818482	0.00071809
-731.81518152	0.00072078
-731.78217822	0.00071300
-731.74917492	0.00064485
-731.71617162	0.00073696
-731.68316832	0.00069474
-731.65016502	0.00067087
-731.61716172	0.00064623
-731.58415842	0.00074257
-731.55115512	0.00068161
-731.51815182	0.00061281
