# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-12T12:57:54
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00022722
-739.96699670	-0.00016170
-739.93399340	-0.00015769
-739.90099010	-0.00014418
-739.86798680	-0.00015029
-739.83498350	-0.00005977
-739.80198020	-0.00006642
-739.76897690	-0.00010667
-739.73597360	-0.00007691
-739.70297030	-0.00003459
-739.66996700	-0.00001642
-739.63696370	-0.00002022
-739.60396040	0.00005060
-739.57095710	-0.00000621
-739.53795380	0.00015435
-739.50495050	-0.00001456
-739.47194719	0.00012542
-739.43894389	0.00006452
-739.40594059	0.00006717
-739.37293729	0.00009547
-739.33993399	0.00007668
-739.30693069	0.00009106
-739.27392739	0.00015407
-739.24092409	0.00001706
-739.20792079	0.00004466
-739.17491749	0.00010276
-739.14191419	0.00008449
-739.10891089	0.00011041
-739.07590759	0.00002032
-739.04290429	-0.00001618
-739.00990099	0.00004815
-738.97689769	0.00003875
-738.94389439	-0.00000537
-738.91089109	0.00006779
-738.87788779	0.00004614
-738.84488449	-0.00002165
-738.81188119	0.00008770
-738.77887789	0.00007472
-738.74587459	-0.00008968
-738.71287129	-0.00001889
-738.67986799	0.00002406
-738.64686469	-0.00001123
-738.61386139	-0.00005131
-738.58085809	-0.00008626
-738.54785479	-0.00013984
-738.51485149	-0.00011680
-738.48184818	-0.00009525
-738.44884488	-0.00009236
-738.41584158	-0.00007568
-738.38283828	-0.00002493
-738.34983498	-0.00004229
-738.31683168	-0.00001742
-738.28382838	-0.00007567
-738.25082508	-0.00006083
-738.21782178	-0.00003451
-738.18481848	-0.00004278
-738.15181518	-0.00016165
-738.11881188	-0.00009072
-738.08580858	-0.00019471
-738.05280528	-0.00012566
-738.01980198	-0.00016809
-737.98679868	-0.00020078
-737.95379538	-0.00014863
-737.92079208	-0.00016504
-737.88778878	-0.00017991
-737.85478548	-0.00016228
-737.82178218	-0.00012470
-737.78877888	-0.00008708
-737.75577558	-0.00012658
-737.72277228	-0.00013799
-737.68976898	-0.00005852
-737.65676568	-0.00003697
-737.62376238	-0.00002744
-737.59075908	-0.00004314
-737.55775578	-0.00005099
-737.52475248	-0.00001394
-737.49174917	-0.00006309
